SampleID,Run_TM,TM_BAM
LODCRC6,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/18-LODCRC6CT460T_M570-M770.deduplicated.bam
BREAST10R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3724/align/75-LODBREAST10R1CT502T_M534-M734.deduplicated.bam
LODCRC3PR1,R3549,/mnt/BACKUP_NAS05/ECDTM_repo/R3549/align/47-LODCRC3PR1CT446T_M538-M738.deduplicated.bam
LODBREAST7R2,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/32-LODBREAST7R2CT460T_M588-M788.deduplicated.bam
LODBREAST6,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/25-LODBREAST6CT460T_M579-M779.deduplicated.bam
LODBREAST1,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3724/align/76-LODBREAST11R1CT502T_M535-M735.deduplicated.bam
CRC7PR27,R3529,/mnt/BACKUP_NAS05/ECDTM_repo/R3529/align/80-CRC7PR27CT444T_M513-M713.deduplicated.bam
LODBREAST5,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/24-LODBREAST5CT460T_M578-M778.deduplicated.bam
LODLUNG1,R3550,/mnt/BACKUP_NAS05/ECDTM_repo/R3724/align/33-LODLUNG10CT500T_M595-M795.deduplicated.bam
BREAST10R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/117-BREAST10R2CT505T_S6576-S6776.deduplicated.bam
LODBREAST3,R3596,/mnt/GS_NAS05/ECDTM_repo/R4868/align/78-LODBREAST33R1CT671T_M506-M706.deduplicated.bam
LODBREAST7R1,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/31-LODBREAST7R1CT460T_M587-M787.deduplicated.bam
LODCRC3,R3550,/mnt/BACKUP_NAS05/ECDTM_repo/R3550/align/35-LODCRC3CT448T_M538-M738.deduplicated.bam
LODBREAST7,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/26-LODBREAST7CT460T_M580-M780.deduplicated.bam
LODLUNG4,R3550,/mnt/BACKUP_NAS05/ECDTM_repo/R3550/align/40-LODLUNG4CT448T_M543-M743.deduplicated.bam
LODCRC7,R3596,/mnt/BACKUP_NAS05/ECDTM_repo/R3596/align/19-LODCRC7CT460T_M571-M771.deduplicated.bam
LODLUNG3,R3550,/mnt/BACKUP_NAS05/ECDTM_repo/R4885/align/71-LODLUNG34R1CT677T_M564-M764.deduplicated.bam
