SampleID,ratio_in_reads,ratio_raw,ichorCNA,spike_in_ratio,spike_in_label
KZAZ52_spike_in__005_from_ZNC05S_label_CRC_replicate_1,0.000445142990745186,0.0002093671242740635,0.04019,0.05,PAN_CANCER
KACE35_spike_in__005_from_ZNB06SR3_label_Breast_replicate_0,0.0004341808739956887,0.0002102864166245501,0.04465,0.05,PAN_CANCER
K2AA15_spike_in__0005_from_ZNC03S_label_CRC_replicate_0,0.0004165479437185385,0.0002114630903918611,0.03432,0.005,PAN_CANCER
K0AC37_spike_in__0001_from_ZNL08S_label_Lung_replicate_1,0.0004608508108966778,0.0002340847839127006,0.04623,0.001,PAN_CANCER
LBGS087_spike_in__01_from_ZNL15S_label_Lung_replicate_2,0.0004223167957101211,0.000219128890580787,0.05653,0.1,PAN_CANCER
K1AD22_spike_in__001_from_ZNL15S_label_Lung_replicate_0,0.0004774820835896947,0.0002345156868011081,0.0333,0.01,PAN_CANCER
KABT41_spike_in__05_from_ZNC19S_label_CRC_replicate_1,0.0005267984313113379,0.0002543885159602099,0.3239,0.5,PAN_CANCER
K0AI90_spike_in__01_from_ZNC01S_label_CRC_replicate_0,0.0004499033115784384,0.0002255699694109548,0.02534,0.1,PAN_CANCER
K0805_spike_in__001_from_ZMH056S_label_Liver_replicate_1,0.0004221971285100288,0.0002139366997966905,0.02232,0.01,PAN_CANCER
KABT41_spike_in__0001_from_ZNC01S_label_CRC_replicate_1,0.000486256153960913,0.0002322153747506412,0.02886,0.001,PAN_CANCER
K0AC37_spike_in__0001_from_ZNL09S_label_Lung_replicate_2,0.0004608508108966778,0.0002340965116072854,0.04611,0.001,PAN_CANCER
KZAZ52_spike_in__05_from_ZNC03S_label_CRC_replicate_2,0.0005185920518451575,0.0002457041522337816,0.02792,0.5,PAN_CANCER
KZAU93_spike_in__001_from_ZNC01S_label_CRC_replicate_1,0.000498906125079794,0.0002372414215859633,0.0325,0.01,PAN_CANCER
K0043_spike_in__0001_from_ZMG059S_label_Gastric_replicate_0,0.0005015641069080792,0.000258523019371762,0.02805,0.001,PAN_CANCER
K0064_spike_in__0005_from_ZMG059S_label_Gastric_replicate_2,0.0004409725602456396,0.0002281342943286305,0.03061,0.005,PAN_CANCER
K4AA93_spike_in__001_from_ZNB06SR3_label_Breast_replicate_2,0.0004713251271706172,0.0002447129714038185,0.01906,0.01,PAN_CANCER
K4AA93_spike_in__001_from_pool_Breast_label_Breast_replicate_0,0.0004706058116082767,0.0002442984900996098,0.01952,0.01,PAN_CANCER
K0103_spike_in__05_from_ZMG059S_label_Gastric_replicate_1,0.0005309815704668739,0.0002785448288724048,0.0607,0.5,PAN_CANCER
KAAB22_spike_in__0005_from_ZMH053S_label_Liver_replicate_0,0.0004298291780615715,0.0002167990921925948,0.02423,0.005,PAN_CANCER
K2AA15_spike_in__0005_from_ZNC01S_label_CRC_replicate_0,0.0004165479437185385,0.0002114488585992581,0.05038,0.005,PAN_CANCER
K0106_spike_in__01_from_pool_Gastric_label_Gastric_replicate_0,0.0004066020076330545,0.0002121780688819882,0.03524,0.1,PAN_CANCER
K0AQ69_spike_in__005_from_ZNL07S_label_Lung_replicate_0,0.0005513502454991817,0.0002927661238634265,0.02813,0.05,PAN_CANCER
K2070_spike_in__0001_from_ZMH050S_label_Liver_replicate_1,0.0004686035613870666,0.0002389898694849769,0.01903,0.001,PAN_CANCER
K0006_spike_in__0005_from_ZMG051S_label_Gastric_replicate_1,0.0004633012077279341,0.0002375778623367823,0.02856,0.005,PAN_CANCER
LBGS087_spike_in__005_from_ZNB06SR3_label_Breast_replicate_0,0.0004210973272770662,0.0002184680174582281,0.04535,0.05,PAN_CANCER
K4AC10_spike_in__001_from_ZNB05S_label_Breast_replicate_2,0.0006741840161547144,0.0003400088741319055,0.08043,0.01,PAN_CANCER
CRCC5_spike_in__0005_from_ZMG063S_label_Gastric_replicate_2,0.0004561006752644838,0.0002336500031258998,0.01784,0.005,PAN_CANCER
