File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
84b71166-101e-4ea7-9410-13b2d0539a07	bc470ffd-7a26-4a07-96e7-40c2e57d2f59.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A18U	TCGA-BH-A18U-11A	Solid Tissue Normal
4d396c69-6ebc-42df-aa00-9e1c9c9da5d4	73bbbd87-a740-467f-a264-585d15672777.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A18P	TCGA-BH-A18P-11A	Solid Tissue Normal
0264cf1a-49d3-466e-a748-c9c000190112	37389dcc-1223-4b3f-a1bf-5de660433045.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0DO	TCGA-BH-A0DO-11A	Solid Tissue Normal
625826f0-cc0c-4555-9c8f-029f79cb08a3	1c8ed7c2-56ec-49a8-a0a9-97223c9b5e5d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0DE	TCGA-BH-A0DE-11A	Solid Tissue Normal
823a0a7c-0161-49a6-9f6d-434e8eeb11be	256b3d25-5e59-4bf0-ade1-4bd458bc7396.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A15M	TCGA-E2-A15M-11A	Solid Tissue Normal
d275e5c3-6328-4759-9162-4da7c45d44f7	66705e98-15ad-4eab-9901-7d1f6c0c2e57.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A15L	TCGA-E2-A15L-11A	Solid Tissue Normal
d8ccc3ee-e01f-41bb-b09f-a078cc7f66b8	c039beb5-6e40-481c-a2e9-e138c65a401f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0BW	TCGA-BH-A0BW-11A	Solid Tissue Normal
751a459a-9d1d-4cc9-a170-946039d07f63	166ef603-11a0-4023-bdc3-27012c52a90c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A18N	TCGA-BH-A18N-11A	Solid Tissue Normal
a097da53-c8bc-4f64-a43e-ea98af548fc1	7e77594d-b56c-4ada-b27e-a9aac501065e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A18V	TCGA-BH-A18V-11A	Solid Tissue Normal
33468c4f-f0ce-4f53-b85a-785b6748dd12	34d477fa-8fd6-409b-b00b-8b543bf944fa.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0B7	TCGA-BH-A0B7-11A	Solid Tissue Normal
