File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
8e48755a-490f-45b4-b1bf-0fbf09485177	27fe0b6c-1b76-400b-a0ef-9405f833c482.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AQ-A0Y5	TCGA-AQ-A0Y5-01A	Primary Tumor
9664d995-5143-4c6e-9071-6185ff1ecd86	a50809bf-e9b6-4ba6-910b-b1093c266ac2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-EW-A2FW	TCGA-EW-A2FW-01A	Primary Tumor
313475f8-12ed-4d5c-adcb-c3e3607c4e9c	7fd44389-6635-4819-810b-27d78eafebea.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-C8-A274	TCGA-C8-A274-01A	Primary Tumor
68da136d-e152-4e4d-8589-36fd1a774b8e	efbe7d9d-d6bd-460f-a13d-73ffdfe5f50a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0IK	TCGA-B6-A0IK-01A	Primary Tumor
f296e297-c8a8-419b-8726-9de78be0f150	1768d242-9cd3-44cf-b70a-5bc9752e81be.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1L7	TCGA-E2-A1L7-01A	Primary Tumor
9b0027cc-7ba5-49e6-8c99-9a49f7270167	f8e63e29-f7e8-4766-bd6c-2f629171e4ad.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A247	TCGA-E9-A247-01A	Primary Tumor
d1c3d7a9-3094-458d-abe1-e5422a9a307b	a7fd4ada-7db5-4418-a80f-4142323d8915.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A0U0	TCGA-AR-A0U0-01A	Primary Tumor
92b3f3c3-7564-4b21-8a1d-f8e447192d0b	eb7fe955-996e-4483-9731-bc7f96f18231.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1LI	TCGA-E2-A1LI-01A	Primary Tumor
eb6b80b9-3f49-4fbd-bd6c-b761f5febbba	b98ee315-9370-4071-ba67-7bf4c91b4777.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0WV	TCGA-B6-A0WV-01A	Primary Tumor
1acce3b4-b845-4bf6-8ef4-ff41f8c621fb	147ce471-adc9-4579-8088-c3f370bcbec0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A0SV	TCGA-A2-A0SV-01A	Primary Tumor
cc9a21ff-aae2-4ad9-8ed1-f7f8e16ae962	f9fe6e9e-a4ab-47b3-8af3-f851d0303a3e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A1FD	TCGA-BH-A1FD-01A	Primary Tumor
e9cd5119-8b53-42cb-970c-5132b71a4249	e633d9e7-3a6b-490a-b464-d5f74478d90d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0DI	TCGA-BH-A0DI-01A	Primary Tumor
cbfd8ad9-391d-4111-a114-b3323051aa78	33fbc3aa-c3f3-47b3-99dc-fd0f70422151.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A1-A0SB	TCGA-A1-A0SB-01A	Primary Tumor
2e1a70ba-6baf-463f-8ff9-9ab6356263e2	7092b0cc-6342-4043-9a89-7de7c395db83.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A2FG	TCGA-AC-A2FG-01A	Primary Tumor
61a0df49-b74b-44f6-a34d-6a86fb59936b	8224439b-5900-449f-8a58-c08213264999.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AQ-A7U7	TCGA-AQ-A7U7-01A	Primary Tumor
03594190-9bbf-44c4-b519-e7dd1c2434eb	34b6d871-e421-4c0b-965e-97113d998c44.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-GM-A2DF	TCGA-GM-A2DF-01A	Primary Tumor
35161ae5-9cbb-4566-9411-e88a084e47dd	d313dc0e-3840-487d-be90-817a1ef43f82.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A3XX	TCGA-A2-A3XX-01A	Primary Tumor
7e25b571-718e-446b-acbd-87b72ba24aa6	01fb64b9-66cb-40cb-b0a8-4ef814d9a475.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A1EN	TCGA-BH-A1EN-01A	Primary Tumor
5fa3658c-1958-4cb7-81ac-081db86e9676	2cfc41ee-6c94-43a1-b234-14d2e96f6db3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A3XW	TCGA-A2-A3XW-01A	Primary Tumor
a8b8f6bb-9314-470a-844f-4aa6f8c40579	dafe76fc-4199-4109-b2bc-008e9aa577ae.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1Y2	TCGA-D8-A1Y2-01A	Primary Tumor
0207f5ef-f6ba-4a85-b5d6-01fcf953a8dc	aba8e3e5-2302-4fce-be2c-ae6e5f6fd73e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A7-A26F	TCGA-A7-A26F-01B	Primary Tumor
cdf9dfb2-0e55-428a-9638-ab913cf8228c	a1d39cbf-1713-45c7-a4e8-665c8d148f21.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A1FB	TCGA-BH-A1FB-01A	Primary Tumor
3ac89852-8b96-45fd-9775-91ccbdd34318	a1f11587-5a03-4d47-8588-ca849d981ace.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1B1	TCGA-E2-A1B1-01A	Primary Tumor
80dcddfa-a808-4f70-99a6-4b0331f9a0d6	78813fe8-7c09-476a-bc5a-4796f9ac76f2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0WX	TCGA-B6-A0WX-01A	Primary Tumor
90c7b2db-e82d-4bae-9555-279545430509	c7e263f9-aa7a-47af-8522-b1dccdabffc0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A23E	TCGA-AC-A23E-01A	Primary Tumor
6e0ef463-e4e2-4b73-9675-8ea812f4a96c	3fd77df6-2b96-4c53-b14d-9a4036f8608f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-C8-A278	TCGA-C8-A278-01A	Primary Tumor
a65cfffe-590b-4438-85be-a2afa33c2731	f8add3d4-158d-4348-b6eb-261ee60c1de3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A3W7	TCGA-AC-A3W7-01A	Primary Tumor
76a2f574-a817-494c-b15d-b00902944356	bc666b44-589d-42be-8d26-ac0ee82b9705.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-EW-A1PH	TCGA-EW-A1PH-01A	Primary Tumor
