File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
64047edb-5625-44ce-a5b8-883a47a4cd5a	66705e98-15ad-4eab-9901-7d1f6c0c2e57_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-E2-A15L	TCGA-E2-A15L-11A	Solid Tissue Normal
efe873b0-f71a-4d5c-a8da-9b82043f5e70	66705e98-15ad-4eab-9901-7d1f6c0c2e57_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-E2-A15L	TCGA-E2-A15L-11A	Solid Tissue Normal
2968164b-b6fe-4455-ad50-f24f0acff9ad	bc470ffd-7a26-4a07-96e7-40c2e57d2f59_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18U	TCGA-BH-A18U-11A	Solid Tissue Normal
15776a3d-a900-4cc4-b1a7-185574f31eb2	73bbbd87-a740-467f-a264-585d15672777_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18P	TCGA-BH-A18P-11A	Solid Tissue Normal
ee023018-298d-443d-a8b7-25567e23e21f	53510a65-6d18-448c-ad17-107c856094fd_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18Q	TCGA-BH-A18Q-11A	Solid Tissue Normal
f67b8fa5-6960-4adb-8727-4851fc4c9b51	34ab956e-0e9c-40e5-a234-9a4aad502321_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18S	TCGA-BH-A18S-11A	Solid Tissue Normal
b973cec1-b9f0-4473-9ac7-3544064789fb	256b3d25-5e59-4bf0-ade1-4bd458bc7396_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-E2-A15M	TCGA-E2-A15M-11A	Solid Tissue Normal
1500762d-6ea2-441b-9646-01086cf06e45	6a72a56b-8c1f-4235-94ce-695cf6e4fe2b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18L	TCGA-BH-A18L-11A	Solid Tissue Normal
dfc4be25-b136-439a-8548-706da5baa2c7	2747651d-e7bb-4612-9657-89048605007a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0BQ	TCGA-BH-A0BQ-11A	Solid Tissue Normal
34c0b87c-1ca0-412a-b522-b4aa58f074d4	166ef603-11a0-4023-bdc3-27012c52a90c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18N	TCGA-BH-A18N-11A	Solid Tissue Normal
b7b7e936-0733-4f45-bcfb-ebfd504b5d8e	7e77594d-b56c-4ada-b27e-a9aac501065e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18V	TCGA-BH-A18V-11A	Solid Tissue Normal
ade81efa-25c8-4006-9100-fc536554011e	7e77594d-b56c-4ada-b27e-a9aac501065e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18V	TCGA-BH-A18V-11A	Solid Tissue Normal
d8bcc146-0222-4b20-a5bb-c6280e5bd1db	34d477fa-8fd6-409b-b00b-8b543bf944fa_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0B7	TCGA-BH-A0B7-11A	Solid Tissue Normal
25f94931-590d-44c3-82a4-7daf2e466918	bc470ffd-7a26-4a07-96e7-40c2e57d2f59_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18U	TCGA-BH-A18U-11A	Solid Tissue Normal
19c37ef0-a296-40b9-91cc-606473590ca3	34d477fa-8fd6-409b-b00b-8b543bf944fa_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0B7	TCGA-BH-A0B7-11A	Solid Tissue Normal
f4838c5a-97eb-46b8-9b64-d89f5a5eb603	73bbbd87-a740-467f-a264-585d15672777_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18P	TCGA-BH-A18P-11A	Solid Tissue Normal
49cd8643-50e1-493c-bc8d-09c0aab1c3b1	c039beb5-6e40-481c-a2e9-e138c65a401f_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0BW	TCGA-BH-A0BW-11A	Solid Tissue Normal
6c4ddad8-7eeb-4bde-b55c-16213276cb7d	2569901d-cde8-418d-ae32-c2280d6b1f83_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0DT	TCGA-BH-A0DT-11A	Solid Tissue Normal
34d83f89-6a5b-4692-ba5c-92f690f7d7f8	53510a65-6d18-448c-ad17-107c856094fd_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18Q	TCGA-BH-A18Q-11A	Solid Tissue Normal
4c01d6a1-43b9-4ca8-aca5-8c56e42f6dea	159c513c-3c8e-438e-8156-eadb14e191d4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0BO	TCGA-BH-A0BO-11A	Solid Tissue Normal
5e907d8d-9a8f-4a25-b86f-9338c22a60d8	c18d008d-edd6-4cc3-ad0c-db5b5b34dd26_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18J	TCGA-BH-A18J-11A	Solid Tissue Normal
30419d2a-f6f5-42b4-a303-ae11dc228cd4	6b81cbbd-6e91-4844-9123-5d3450387632_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0H5	TCGA-BH-A0H5-11A	Solid Tissue Normal
5e2ab1a3-d91b-45af-aad3-24807a157c03	768b6c07-6c63-4d21-b299-11380a2d1042_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18R	TCGA-BH-A18R-11A	Solid Tissue Normal
db9e050c-0a35-4f0b-8463-c3bd053472d0	bd84b8fe-ecd2-455b-8032-551c69111454_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-E2-A158	TCGA-E2-A158-11A	Solid Tissue Normal
84866096-36f7-4722-88db-44d2ad1ab877	bd84b8fe-ecd2-455b-8032-551c69111454_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-E2-A158	TCGA-E2-A158-11A	Solid Tissue Normal
b1f9e75f-9cde-4fff-8c52-e2b0a3a7d9c8	c0396dfd-6f81-4a4f-bf31-03acb45e7e04_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18F	TCGA-BH-A18F-11A	Solid Tissue Normal
