File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
14346d03-2416-44a3-b5b2-4d0c30308e76	93655b20-9109-4c7e-afd7-7bc76ca61578_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A7-A0CD	TCGA-A7-A0CD-01A	Primary Tumor
fea739f8-1d1a-4b5b-a456-df033219c0e3	2d82bb16-80f2-4c1e-9283-ff3d0afdb5f5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A07E	TCGA-A8-A07E-01A	Primary Tumor
26c4ef66-b46d-443f-8f19-cb3e0d281072	1355d482-0ab9-424e-95b5-3e9ef1f136ee_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A0BD	TCGA-BH-A0BD-01A	Primary Tumor
c66edaed-5e53-492d-bd1f-50882eb4b803	89c06b7b-8adc-449c-8de5-d8190b0f8c4d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-AO-A0J5	TCGA-AO-A0J5-01A	Primary Tumor
bd707c91-954f-44e0-9983-251898c343f4	d0207ef8-9ffc-4ba5-abb2-57fac81b5c38_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A07I	TCGA-A8-A07I-01A	Primary Tumor
62cd2159-f0ce-434b-82c2-ec44c6b56171	5abd7590-46fd-4016-b38a-e334a7066e25_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A06Q	TCGA-A8-A06Q-01A	Primary Tumor
7ae83742-fe29-4fd7-9bca-23a04c1e95cc	5abd7590-46fd-4016-b38a-e334a7066e25_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A06Q	TCGA-A8-A06Q-01A	Primary Tumor
4f3b4b4b-bae2-4cf8-9584-2738077063ef	e6be8407-9d60-4a89-87bb-47c15a873ae4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-BH-A18L	TCGA-BH-A18L-01A	Primary Tumor
a09b5a92-2f42-4370-998b-30f9ba3372eb	90454a2d-7a76-43ec-9865-c6e847c249bc_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-C8-A134	TCGA-C8-A134-01A	Primary Tumor
506dc6bd-46db-4ee1-bb4d-f42a36ee598a	f418234d-8faf-4959-b087-f28de119193b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-AN-A0FD	TCGA-AN-A0FD-01A	Primary Tumor
38951340-c8f6-45ad-a8cc-c7361e2fd3d0	520bc510-f1fb-4b7f-b6d6-c71e6ed25e42_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A09T	TCGA-A8-A09T-01A	Primary Tumor
02826a61-1c43-4390-a889-2d53a16df747	72a71d75-8f87-4455-9169-5548c3e149e0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A08B	TCGA-A8-A08B-01A	Primary Tumor
30c6e609-225f-4cb6-95a3-13687b142a84	72a71d75-8f87-4455-9169-5548c3e149e0_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-A8-A08B	TCGA-A8-A08B-01A	Primary Tumor
