File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c8cd28ee-09a8-4680-988d-926421cba8b8	09cf025a-359f-4e4f-a6e2-05c30870e7d5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AZ-6599	TCGA-AZ-6599-11A	Solid Tissue Normal
02b9366c-0aab-4125-a977-f3c788481084	577cf4c7-1993-4f5c-9ae4-97a00e43b703.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3510	TCGA-AA-3510-11A	Solid Tissue Normal
0749cb8e-3b93-4329-a201-baa9c14bef87	4f9d075c-418d-439e-b7b5-30da3c240967.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2680	TCGA-A6-2680-11A	Solid Tissue Normal
ca95a8d8-4cef-4895-a6dd-9b985d4dc07d	986be584-4722-4399-ac21-963904ebe16d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3697	TCGA-AA-3697-11A	Solid Tissue Normal
317f0918-32ef-4a9b-97e3-f4636d5ce653	324b5dcd-3cf4-4609-8763-d62e907a6afb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3713	TCGA-AA-3713-11A	Solid Tissue Normal
4fe1a3b1-2b72-4940-bfce-716c96ef59b1	7bc9dc24-9b23-4b31-a8a4-b9772cfe837a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6311	TCGA-G4-6311-11A	Solid Tissue Normal
fe312124-9ce2-4166-8215-4fdd8836e117	7b27347b-e5a1-4b25-aa46-e21e87124f7c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AZ-6601	TCGA-AZ-6601-11A	Solid Tissue Normal
d2067d9a-4c81-4e38-a8ab-6887c96af17f	7681cfb3-5c68-432a-a509-58509f461bc1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6625	TCGA-G4-6625-11A	Solid Tissue Normal
03df8196-a3e2-4eff-80ca-7dc897e8394b	c6cfad8c-85f2-41b0-b997-155e8b696bb8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6314	TCGA-G4-6314-11A	Solid Tissue Normal
6869b901-6c9b-428f-9db1-56a9f27d7afa	68510d53-0bca-482b-bc79-99f5c8931221.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6298	TCGA-G4-6298-11A	Solid Tissue Normal
3c79f4ad-cf6e-4362-9cbc-6d943a9d04ef	ff6649bd-61fe-49e3-a43d-d2356f3afa09.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3506	TCGA-AA-3506-11A	Solid Tissue Normal
68cecd89-a390-4f94-ab77-40f1bdac2ccb	a3a49bd5-25a6-422b-acb0-03ba3aded734.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2682	TCGA-A6-2682-11A	Solid Tissue Normal
ea482a2a-cb3b-467e-8691-71d7b6388be3	2608a152-f2ab-4c1f-97ad-73d67777778f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3655	TCGA-AA-3655-11A	Solid Tissue Normal
b3958ca8-f511-4e7a-851f-f747849abcde	8844dda5-7f79-4c06-aa6d-81a83729b545.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AZ-6600	TCGA-AZ-6600-11A	Solid Tissue Normal
561006b0-50cf-42f9-bc5f-e6c2f676fe13	08b93e42-3a3a-4114-9185-ddaf728cc28f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3502	TCGA-AA-3502-11A	Solid Tissue Normal
8717530e-8718-4c08-af40-6d233a72ab9e	4bca67d5-7e58-4e40-9817-37d58e17b077.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3494	TCGA-AA-3494-11A	Solid Tissue Normal
fe8caf8e-0090-454a-8487-cf875363e205	ac565d10-6233-4ca4-9857-13f45e396041.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6322	TCGA-G4-6322-11A	Solid Tissue Normal
cbd1eb07-3376-4fad-a982-0136474bbf15	c852dc67-f845-450f-9ef2-b1b90d852f11.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6295	TCGA-G4-6295-11A	Solid Tissue Normal
d1a0a8b2-6ae1-46a1-a7bc-5cdb119175bc	fbfa683d-97d7-484f-bc03-9dd11d01ebb1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3492	TCGA-AA-3492-11A	Solid Tissue Normal
0cbae9f2-9dd9-4f04-a700-c6dcca5ed63c	9c5ffda9-a553-4d80-b0d7-4d806ebaa7b3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3663	TCGA-AA-3663-11A	Solid Tissue Normal
951aa3a5-798c-4113-ae9e-d5896259df93	6bf0b9d0-31be-4aee-8ba2-57b489aadc35.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2684	TCGA-A6-2684-11A	Solid Tissue Normal
07ee6aa7-8fe2-4011-9699-bacbd8302917	a87f5929-bf24-45b3-98ec-86a55fcf99cb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6320	TCGA-G4-6320-11A	Solid Tissue Normal
7d74ba65-d49e-4be2-9d39-a0bc8c8fe0f2	e1027cf4-08ef-4842-a49c-c109ce51ee1e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2675	TCGA-A6-2675-11A	Solid Tissue Normal
8072dac1-2b38-4c45-ab7b-7302b3414c66	12969df6-305c-45a4-aaef-5587a9f9153c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3509	TCGA-AA-3509-11A	Solid Tissue Normal
65743bd8-19da-45c9-8962-1ddc15231d13	c44891b6-f49b-484f-9af1-203d692197d1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2686	TCGA-A6-2686-11A	Solid Tissue Normal
e3d47174-60aa-4548-a8e6-30681b583ecf	dd70ad27-c958-42a7-a8dc-fe9b30d4bdca.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-A6-2679	TCGA-A6-2679-11A	Solid Tissue Normal
336b3e86-e55c-4fda-8f7a-df4d778da06f	5698e7da-6832-40d2-bf8d-33b6ad20963e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-G4-6297	TCGA-G4-6297-11A	Solid Tissue Normal
