File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
53520c89-42a1-417e-8392-091db7e9ea4e	33d748f7-cb75-4054-82de-bf1791497863.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3819	TCGA-AA-3819-01A	Primary Tumor
75ac7245-0ba8-41cf-8af6-5dfce01e7030	37bf7c1f-9936-4cdd-84f5-0f0292c59eba.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3552	TCGA-AA-3552-01A	Primary Tumor
215fa5fe-8ab5-4364-a647-0bf0f757bbf9	657fdd7d-60f5-4c36-99eb-b1ab714473d8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3867	TCGA-AA-3867-01A	Primary Tumor
77c2aff6-da28-4982-8b27-5d6b3fe4f5ed	6445f3f4-871d-4d2f-89c2-cd047160818d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3560	TCGA-AA-3560-01A	Primary Tumor
f211bd07-e740-4195-8a26-52aae5f74d36	e8f79716-acc6-46c9-9058-9a08533fa36f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3986	TCGA-AA-3986-01A	Primary Tumor
d472e949-e16d-4b37-bba9-c7333a226369	71f796a6-bfbb-40ae-963e-96e0f27b6bda.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-A02O	TCGA-AA-A02O-01A	Primary Tumor
7e1a1a5f-dfd1-46d2-8ce5-0c53fb0af310	17c041b1-3f4a-4195-a120-b75fb7dc689e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3950	TCGA-AA-3950-01A	Primary Tumor
ee51e7eb-f960-4b63-b58f-280d45621b13	1a209197-90a7-45ba-93fb-ec4b7cbfaeeb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3842	TCGA-AA-3842-01A	Primary Tumor
e9c447cb-49b9-4a7a-8f7d-dca98bd3f246	f96d854d-fb65-4c90-a7d3-1413765c5a6c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3861	TCGA-AA-3861-01A	Primary Tumor
cfcc2945-8bea-4729-9838-7df03793234b	b88f7006-e703-4bbd-9a74-ac66aca86ade.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3527	TCGA-AA-3527-01A	Primary Tumor
8a36cd67-04b0-4c78-b3bd-84fdb68e9f52	01aafd9e-4d15-4f6e-a603-6cec256228ba.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-A00L	TCGA-AA-A00L-01A	Primary Tumor
ed8dd9f8-176f-45de-8533-79736205508a	26608eaa-a6cd-40ed-8ace-b9e616aa2318.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3979	TCGA-AA-3979-01A	Primary Tumor
4a066ca1-d6a3-46dc-8085-3b04e72db6b2	c4fabf97-d62e-4c0f-9d49-ca74e9c82495.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-A024	TCGA-AA-A024-01A	Primary Tumor
