File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a941d205-dfef-45c5-8d5c-34db2723b509	b98bcf84-7ed7-4f8e-ab0c-0f5fea0d1526_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A03F	TCGA-AA-A03F-11A	Solid Tissue Normal
556c9f22-da4c-42b8-89e1-0e649e6ee89b	e8106158-24c9-40e7-a67d-19dad4993138_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3521	TCGA-AA-3521-11A	Solid Tissue Normal
fa88c5a4-a00a-4d84-a4f2-8add15c51646	e8106158-24c9-40e7-a67d-19dad4993138_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3521	TCGA-AA-3521-11A	Solid Tissue Normal
b45e2e26-d741-4b7a-afd7-e1bd174bf861	479a41f3-aa0d-4031-afd9-a6d74ee9fe88_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01X	TCGA-AA-A01X-11A	Solid Tissue Normal
8a9740cc-45f2-418b-8f34-0bf1349af9b1	9d6fd313-3d7e-472a-8acb-392e160ff1a6_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A022	TCGA-AA-A022-11A	Solid Tissue Normal
8143dfa1-a2d2-4da0-8ebf-e8953ca3e4f5	5d99bd2b-8fc9-4a77-8a31-435c625cc461_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3527	TCGA-AA-3527-11A	Solid Tissue Normal
1cae879d-f08c-47e4-9df1-fdea56df9818	737112a6-0ec7-4edd-8cd5-fd607d47cef4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2677	TCGA-A6-2677-11A	Solid Tissue Normal
fe6c4a30-a19e-482a-a229-3ae7b78548b5	56242fcb-59f0-43d4-904b-e40141d606b4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3516	TCGA-AA-3516-11A	Solid Tissue Normal
5c8b5869-e643-4781-8f8f-cb02843eaebf	56242fcb-59f0-43d4-904b-e40141d606b4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3516	TCGA-AA-3516-11A	Solid Tissue Normal
64df3d84-372f-4c9d-8cb4-3496fb97e24b	651b72eb-3b58-4532-ba3a-17aad7891d6b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2676	TCGA-A6-2676-11A	Solid Tissue Normal
3f0d507a-a9ee-467d-9afd-cbe38a031415	b98bcf84-7ed7-4f8e-ab0c-0f5fea0d1526_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A03F	TCGA-AA-A03F-11A	Solid Tissue Normal
1a526b6f-7dad-4333-bf88-282c8b348c7e	bfd66d73-5a5a-44b9-895b-1124366b6c13_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A02O	TCGA-AA-A02O-11A	Solid Tissue Normal
c2e81e6f-1633-4055-9cf9-caa391d9df43	3c1d3bbd-f59b-4cb5-9d2e-4e862750d2bf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2678	TCGA-A6-2678-11A	Solid Tissue Normal
24cb8c92-ed2d-4b78-84a0-cba5e2764971	bfd66d73-5a5a-44b9-895b-1124366b6c13_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A02O	TCGA-AA-A02O-11A	Solid Tissue Normal
23789328-1158-421f-85df-769efffc61bf	3c1d3bbd-f59b-4cb5-9d2e-4e862750d2bf_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2678	TCGA-A6-2678-11A	Solid Tissue Normal
897c491b-9b67-4787-822b-f55a367d542d	48b96589-7e5c-4013-ba7d-cc6be4139e20_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3522	TCGA-AA-3522-11A	Solid Tissue Normal
c0228f9d-d4f4-42c8-86a8-7270a19277f9	48b96589-7e5c-4013-ba7d-cc6be4139e20_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3522	TCGA-AA-3522-11A	Solid Tissue Normal
4e8b638a-ae32-4500-9500-8d0178d0714d	a026fca7-57d5-4b3a-aa5a-e161da31d0e8_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3526	TCGA-AA-3526-11A	Solid Tissue Normal
c969f750-7a01-4db1-a16b-ac3bcf6b589e	651b72eb-3b58-4532-ba3a-17aad7891d6b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2676	TCGA-A6-2676-11A	Solid Tissue Normal
6f28cbc1-225e-4908-aac5-5c4e95766a64	479a41f3-aa0d-4031-afd9-a6d74ee9fe88_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01X	TCGA-AA-A01X-11A	Solid Tissue Normal
da112b0b-12f1-4d4f-8893-1586536de514	9d6fd313-3d7e-472a-8acb-392e160ff1a6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A022	TCGA-AA-A022-11A	Solid Tissue Normal
99eaec44-8f02-48c1-b8a9-bb3574b36732	3e6c4070-9b12-4931-92b7-fb627f0503a6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A03J	TCGA-AA-A03J-11A	Solid Tissue Normal
ec431613-fba0-4e7b-a0f7-22096fa93bfe	3e6c4070-9b12-4931-92b7-fb627f0503a6_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A03J	TCGA-AA-A03J-11A	Solid Tissue Normal
36b330d3-c5bc-4416-8a00-9c325172917f	ffaf1f5f-a2e0-4a82-a7e3-677ecc155201_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3524	TCGA-AA-3524-11A	Solid Tissue Normal
5def6372-17a5-4951-8936-197d63076dda	253bbcaf-0a71-4a70-ac15-7bd1c8d6650b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3525	TCGA-AA-3525-11A	Solid Tissue Normal
12fb9857-1332-45a1-b1f4-89e2659e6324	ffaf1f5f-a2e0-4a82-a7e3-677ecc155201_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3524	TCGA-AA-3524-11A	Solid Tissue Normal
cee5b971-b393-428f-bac6-e8b68f136bf6	5d99bd2b-8fc9-4a77-8a31-435c625cc461_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3527	TCGA-AA-3527-11A	Solid Tissue Normal
2128f0f5-0348-45f6-9f95-4758a75a7507	6e8d142f-5535-437e-b1e0-85030e6d4cbb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3531	TCGA-AA-3531-11A	Solid Tissue Normal
a56a614e-544d-43f6-afd3-f60a5e5dc16d	f333ab3b-aeb7-421f-938d-4048364fe9a5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3532	TCGA-AA-3532-11A	Solid Tissue Normal
67fddc5a-ddce-457d-a2a0-a156ff78538f	51520087-216a-4e57-9ccb-799d6f048829_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2672	TCGA-A6-2672-11A	Solid Tissue Normal
b69a0f09-c13c-4675-9571-d1b934ef4bf4	5d371dc8-ea7b-42dd-8a00-ccbdae9de49c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2674	TCGA-A6-2674-11A	Solid Tissue Normal
4edad9d7-dabf-4ff5-9747-8d1540487da9	7dfb2aa2-3e84-44f7-b949-0c375b260529_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3519	TCGA-AA-3519-11A	Solid Tissue Normal
03764150-ba33-4906-9384-fb5e858f23ee	28e400b6-cd42-4d8f-9e90-9a74c1fbcf16_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01P	TCGA-AA-A01P-11A	Solid Tissue Normal
7c93c128-350c-41ad-9720-2270ecf53c2f	f333ab3b-aeb7-421f-938d-4048364fe9a5_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3532	TCGA-AA-3532-11A	Solid Tissue Normal
88c9e771-bdb7-49b9-acf3-13cdc2381e7c	f8ea4ee9-e67a-41b7-a566-1d67aae0fd70_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01S	TCGA-AA-A01S-11A	Solid Tissue Normal
e90e0485-94bc-4f5a-a69f-50615cccf122	f8ea4ee9-e67a-41b7-a566-1d67aae0fd70_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01S	TCGA-AA-A01S-11A	Solid Tissue Normal
4f0d491a-2c7a-4eaa-af74-74510aa18ab4	a1889bcb-a986-48c8-8bb6-9b55ce16d075_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3529	TCGA-AA-3529-11A	Solid Tissue Normal
1695fdd9-3ce1-4c28-94bd-5c57cb919970	a059c03a-7859-4e44-9d59-73a4d7ddb8ee_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3514	TCGA-AA-3514-11A	Solid Tissue Normal
72446eaf-d365-4bd9-a44a-6fa881ff5d31	14335add-7312-4bea-925b-66a87621d4f1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3520	TCGA-AA-3520-11A	Solid Tissue Normal
256373ac-59c2-4dcc-9bb3-850485149812	2abc4d95-31b1-4d21-ab8c-bb2069622b73_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-3534	TCGA-AA-3534-11A	Solid Tissue Normal
b88d6267-fdb1-4d22-8ab9-6a9c8487ee41	ebdbd8c2-ef5d-42de-92c0-8c23921ad17d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-2683	TCGA-A6-2683-11A	Solid Tissue Normal
01865ad1-c712-4194-be0f-a1492baee7d1	5fd9c16b-b8b0-46ac-a1f8-beac10e71d41_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-3810	TCGA-A6-3810-11A	Solid Tissue Normal
69f54c66-0766-42a5-8d6e-fe79e170ccce	6a2255f6-5798-4fb6-a966-bef0edce00a5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-3808	TCGA-A6-3808-11A	Solid Tissue Normal
6d064a9d-b1ea-4047-9a0a-bc9a5d67f988	827311da-c55b-43f6-bea7-d3d75bb1c268_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01V	TCGA-AA-A01V-11A	Solid Tissue Normal
b4b8e31e-ba3b-4740-945a-e74dc9b6f6fb	827311da-c55b-43f6-bea7-d3d75bb1c268_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-AA-A01V	TCGA-AA-A01V-11A	Solid Tissue Normal
20c4ff38-a13b-4347-976a-89e81dba1ee7	2f88cf82-0a95-4f09-9ea6-6ab114e76ee3_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-COAD	TCGA-A6-3809	TCGA-A6-3809-11A	Solid Tissue Normal
