File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
af2044e0-b2e2-4e87-939b-7f567a2032d0	3969a51d-4c80-4804-aad0-af9b24b04552_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-2H-A9GK	TCGA-2H-A9GK-01A	Primary Tumor
9f51f93b-011e-4dbe-8324-e956bc1d3c98	3969a51d-4c80-4804-aad0-af9b24b04552_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-2H-A9GK	TCGA-2H-A9GK-01A	Primary Tumor
3dc94f19-aa82-4999-bd86-2677703491de	c332ab16-08f0-4649-bdaa-5de4f638d670_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A4OF	TCGA-L5-A4OF-01A	Primary Tumor
204c780a-a1ca-4b2e-9ba2-d82f85bf9392	c332ab16-08f0-4649-bdaa-5de4f638d670_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A4OF	TCGA-L5-A4OF-01A	Primary Tumor
24ab645d-2bf3-4ed6-a2ff-33d2f6ec2109	19a3dc7a-7234-4202-8d43-6b87299a2319_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A88W	TCGA-L5-A88W-01A	Primary Tumor
82f62aec-7a48-4892-a75f-438b20101228	19a3dc7a-7234-4202-8d43-6b87299a2319_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A88W	TCGA-L5-A88W-01A	Primary Tumor
770475f5-ddce-4bc7-bb5c-c151d65a1a74	ead5cbc2-bddc-4b84-8627-3f3fcf41d352_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-IG-A6QS	TCGA-IG-A6QS-01A	Primary Tumor
4c7845e7-a984-4628-9426-46b62d4abe14	ead5cbc2-bddc-4b84-8627-3f3fcf41d352_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-IG-A6QS	TCGA-IG-A6QS-01A	Primary Tumor
b5dbda96-04a2-4e60-9d8f-eb29ebd076d7	c6bac375-933f-440f-83da-a2be962989ba_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A8NI	TCGA-L5-A8NI-01A	Primary Tumor
e20eaf5c-f69b-4932-97bb-4efec7798ba6	c8bf4361-179e-4be9-9033-9e61dc38d76d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-ESCA	TCGA-L5-A88Y	TCGA-L5-A88Y-01A	Primary Tumor
