File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
0c8afa0a-f1bc-4785-bdcf-0285e96d5477	0d520495-cd59-4302-b2e2-5d39e4f2aa28_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4279	TCGA-BR-4279-11A	Solid Tissue Normal
5b00d92f-dd2a-421b-bcdb-78ec4f7b0d67	0d520495-cd59-4302-b2e2-5d39e4f2aa28_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4279	TCGA-BR-4279-11A	Solid Tissue Normal
f4952691-4bca-4674-b0ba-46bd5af34c6f	a80e17d3-b19b-4568-be2c-1db7e2798649_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4188	TCGA-BR-4188-11A	Solid Tissue Normal
8cc55bd3-c15d-43c9-bfc8-282fcf33b238	7aec6d6e-2b87-40d9-aa08-f0e3f299d98c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4184	TCGA-BR-4184-11A	Solid Tissue Normal
ec421a4b-6329-4a5d-864e-9c493489ebb6	a80e17d3-b19b-4568-be2c-1db7e2798649_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4188	TCGA-BR-4188-11A	Solid Tissue Normal
ab15ba65-7536-4be4-a7c8-a6998d3579e1	f9417de0-ea3f-49ae-9e50-e4825d5b8f60_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4267	TCGA-BR-4267-11A	Solid Tissue Normal
84900f42-4294-4f43-b0fe-8f3a2531b888	685fbd83-a79e-4e5f-88e9-8d0db5beff5d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4187	TCGA-BR-4187-11A	Solid Tissue Normal
f90a1c78-e93f-4d56-8dd2-1504917a9a59	685fbd83-a79e-4e5f-88e9-8d0db5beff5d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4187	TCGA-BR-4187-11A	Solid Tissue Normal
ca871304-9035-4606-924b-5afb37026d32	34f1d994-5b04-4276-b7a9-a9a298cc8d77_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4183	TCGA-BR-4183-11A	Solid Tissue Normal
f6c9243e-fcac-43de-90a4-343f290a6ba9	b126dd0b-bbaf-4e06-8112-b3cc5143c8f9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4368	TCGA-BR-4368-11A	Solid Tissue Normal
65b7326e-a8b5-44ad-998e-70c60e362b73	34f1d994-5b04-4276-b7a9-a9a298cc8d77_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4183	TCGA-BR-4183-11A	Solid Tissue Normal
a3da2f02-5d61-4a5d-b1ad-8ed62ce12783	eb4cec0e-cfe2-46d9-b5aa-a9d45523c167_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4363	TCGA-BR-4363-11A	Solid Tissue Normal
f3bcb9c5-b64d-480f-baff-53f8b31fcd97	5dde223d-50ec-4f5a-ae3d-b61a8893aeec_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4253	TCGA-BR-4253-11A	Solid Tissue Normal
b34b4e49-16c7-4176-b418-e121bb164781	b126dd0b-bbaf-4e06-8112-b3cc5143c8f9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4368	TCGA-BR-4368-11A	Solid Tissue Normal
39766ae1-5357-42ed-a985-94a413384392	eb4cec0e-cfe2-46d9-b5aa-a9d45523c167_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4363	TCGA-BR-4363-11A	Solid Tissue Normal
2574be10-95af-4888-8687-6477b107a06d	7aec6d6e-2b87-40d9-aa08-f0e3f299d98c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4184	TCGA-BR-4184-11A	Solid Tissue Normal
