File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6dc0600c-0124-4481-a07e-bfd94f1995d8	c58c6775-4296-49f5-802c-75d5b0141d8f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4438	TCGA-CG-4438-01A	Primary Tumor
9f9a76b3-8bde-4165-8e33-e79f059da4ed	01c136c4-7484-4b93-ae80-d5493496f0a5_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4184	TCGA-BR-4184-01A	Primary Tumor
c2175c1e-cfc1-49ff-8c44-af85d8b09b07	b062aea6-256d-495f-8367-b8492a71ebfb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4449	TCGA-CG-4449-01A	Primary Tumor
e5ba6cea-8649-423d-bd2a-ca009405b960	b062aea6-256d-495f-8367-b8492a71ebfb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4449	TCGA-CG-4449-01A	Primary Tumor
8757070f-838c-4734-9b51-e0b652dc8cc9	5e52d4c7-133f-4a24-a027-410cdd4e9822_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4279	TCGA-BR-4279-01A	Primary Tumor
1bc6d544-d5f3-49aa-81aa-51d3ec2912b5	602b2f9c-6906-4411-b1dd-9977cd125636_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4187	TCGA-BR-4187-01A	Primary Tumor
724473e5-bed6-48a2-9475-fc947d9bc480	eedbcd44-1cc8-4821-8de4-cb6546015ec1_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4477	TCGA-CG-4477-01A	Primary Tumor
9c1ef60e-0b51-486f-b9bd-5e55c874cda0	0a36c06f-eda7-43b6-807a-773d4dfaad6a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4444	TCGA-CG-4444-01A	Primary Tumor
590f7ba4-ee30-435e-a5fe-f0674c4aa0f4	7cb1ac2b-2f8b-4343-81e9-6334969ae253_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4476	TCGA-CG-4476-01A	Primary Tumor
531bc516-beea-40d5-b582-33e5276f6ca6	f6945e58-38c9-49a6-8771-9fd2282a8861_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4474	TCGA-CG-4474-01A	Primary Tumor
8a7ed54c-fbea-4328-8942-772d885417c9	f6945e58-38c9-49a6-8771-9fd2282a8861_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4474	TCGA-CG-4474-01A	Primary Tumor
0d206786-b0e3-44b6-8a3a-80b93c30c9c3	c36d422a-4e64-4c5b-9eda-99b9544c5c32_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4183	TCGA-BR-4183-01A	Primary Tumor
9bb64078-8a77-4b24-9a71-1b682426cc24	c36d422a-4e64-4c5b-9eda-99b9544c5c32_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4183	TCGA-BR-4183-01A	Primary Tumor
f6f629d0-d476-4207-9883-d7f519486f2d	eedbcd44-1cc8-4821-8de4-cb6546015ec1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4477	TCGA-CG-4477-01A	Primary Tumor
e9377e34-7165-4abf-b4db-6005c7e74329	eb3b6ffb-5964-4c8a-a5e6-85184b72faee_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4472	TCGA-CG-4472-01A	Primary Tumor
06071f17-9a90-4523-8223-4b8f046e90ec	01c136c4-7484-4b93-ae80-d5493496f0a5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4184	TCGA-BR-4184-01A	Primary Tumor
685ebbda-8596-4074-9668-aa5eb9725434	602b2f9c-6906-4411-b1dd-9977cd125636_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4187	TCGA-BR-4187-01A	Primary Tumor
4889f2ca-f4ca-4aa2-8371-4f06ad0a72b3	1d696698-5c89-4edd-b22a-cd8a441047cb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4188	TCGA-BR-4188-01A	Primary Tumor
902870d6-5565-4b52-a508-fe9f131264b3	1d696698-5c89-4edd-b22a-cd8a441047cb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4188	TCGA-BR-4188-01A	Primary Tumor
81a04c06-6e8f-42e6-af25-c1642d22141e	eb3b6ffb-5964-4c8a-a5e6-85184b72faee_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4472	TCGA-CG-4472-01A	Primary Tumor
0fda0b2e-2435-4b5f-b1e1-fc65111563ff	0a58f68f-6d4c-484f-ae47-678c03055500_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4469	TCGA-CG-4469-01A	Primary Tumor
a0619e99-3599-459d-a620-cf3d4085c71b	0a58f68f-6d4c-484f-ae47-678c03055500_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4469	TCGA-CG-4469-01A	Primary Tumor
7a23d563-2416-46a8-8ded-2413e4efb8d9	5e52d4c7-133f-4a24-a027-410cdd4e9822_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4279	TCGA-BR-4279-01A	Primary Tumor
19ab1578-4391-4525-8131-0733df069e92	425626d4-b578-4b9f-849d-cad7f04438d2_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4460	TCGA-CG-4460-01A	Primary Tumor
40514cdf-d4ab-43a9-8db6-754eb234889c	2803edf2-1c2e-4c23-bca2-0bc5a9f2c8b7_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4366	TCGA-BR-4366-01A	Primary Tumor
8cb8ff5b-54ea-4789-9cfb-004de89f0d5c	d857c025-8bfe-41e8-9308-69e16ccc4c56_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4253	TCGA-BR-4253-01A	Primary Tumor
bff6401b-e6be-4891-aaf6-48cbfc6b76f4	e328cc76-f950-4cc8-b143-71560a067054_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4475	TCGA-CG-4475-01A	Primary Tumor
51911faa-f3bb-4fd4-aaf3-ed49ebd9d1d8	0a36c06f-eda7-43b6-807a-773d4dfaad6a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4444	TCGA-CG-4444-01A	Primary Tumor
58affdd3-da1c-4f78-ba8f-bf5220a13b8f	612edb36-0524-434b-8068-bec5ae81796a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4466	TCGA-CG-4466-01A	Primary Tumor
8b6b721e-3b30-448b-8d01-798c0cf1e0cd	425626d4-b578-4b9f-849d-cad7f04438d2_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4460	TCGA-CG-4460-01A	Primary Tumor
83f3dedc-669f-4778-a2fb-0f1c3dcf4404	7cb1ac2b-2f8b-4343-81e9-6334969ae253_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4476	TCGA-CG-4476-01A	Primary Tumor
72005b53-f0d1-4f05-8059-5fe4fef5d0ec	612edb36-0524-434b-8068-bec5ae81796a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-CG-4466	TCGA-CG-4466-01A	Primary Tumor
61d770ee-a81d-4218-8541-92d550cc474d	dd9c08f5-f716-4432-879f-196a06dd1534_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4368	TCGA-BR-4368-01A	Primary Tumor
9119ec97-5ea9-4e90-a989-16486d11ef3c	c6b3323e-c55b-4dca-9cfc-6aaedb17ae0a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4363	TCGA-BR-4363-01A	Primary Tumor
5dd4aa22-3402-4fc4-a442-951d4c6fbc3d	c6b3323e-c55b-4dca-9cfc-6aaedb17ae0a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4363	TCGA-BR-4363-01A	Primary Tumor
827f2932-11fd-4e80-b2f3-376a9691eae1	d857c025-8bfe-41e8-9308-69e16ccc4c56_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4253	TCGA-BR-4253-01A	Primary Tumor
c46272f4-4bdb-418f-9a71-088f6c25e591	dd9c08f5-f716-4432-879f-196a06dd1534_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-STAD	TCGA-BR-4368	TCGA-BR-4368-01A	Primary Tumor
