File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6ee0ce22-8af6-4ee9-9154-b8827697eee2	47779d4c-8de4-4278-ac2f-16df9a624777.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EL	TCGA-DD-A1EL-11A	Solid Tissue Normal
c84c5ca8-8d6f-4452-8efc-b29fd1d645e1	f3d1a993-7cc2-4b20-a73a-7171c69d200e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10W	TCGA-BC-A10W-11A	Solid Tissue Normal
757d83c3-5f4b-4d21-8a2f-9fe85f1e07c3	815825ea-5a92-48ab-a753-bedbe677182a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A115	TCGA-DD-A115-11A	Solid Tissue Normal
90f52a0d-6d8b-47c6-9e87-5a90f1677ed6	1bf3349f-605b-4038-bbd0-4a095653808f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1ED	TCGA-DD-A1ED-11A	Solid Tissue Normal
70c9e596-08da-4f04-970f-24b755270f5a	deba8d6c-3942-4d4f-a5d7-f73fcd94e785.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A112	TCGA-BC-A112-11A	Solid Tissue Normal
82ac2fda-cc60-44fd-a893-57157b628051	06e02a6e-c599-4b3c-9ff6-3fa06498e663.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BD-A2L6	TCGA-BD-A2L6-11A	Solid Tissue Normal
3194982c-f2c2-4e43-b78a-e5068044c82f	9de97058-1342-400c-82eb-e983a04f8105.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A39X	TCGA-DD-A39X-11A	Solid Tissue Normal
c68a3155-b0ca-43f9-b9aa-f072566b7e9d	500f2b50-ef8c-4d53-a935-a572ed74f43f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10U	TCGA-BC-A10U-11A	Solid Tissue Normal
43e26a89-fe53-48df-8edf-7b44a275207f	478878e3-78e2-4584-af86-edf4a87b0d64.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10X	TCGA-BC-A10X-11A	Solid Tissue Normal
a3acb842-c7bc-46f4-9879-2d2d5480791c	3f396ff8-5ae0-4e94-b270-427be3bbf797.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A39W	TCGA-DD-A39W-11A	Solid Tissue Normal
6305e29e-20df-4cec-ac42-210554c2dfdd	49fc376d-afad-4e23-b12d-a10bfe41d5bf.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-ES-A2HT	TCGA-ES-A2HT-11A	Solid Tissue Normal
5577b4be-41ec-496b-a4c7-37aeba6207ea	6c3c904a-6f09-4453-84d6-62ff800bc482.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A3A1	TCGA-DD-A3A1-11A	Solid Tissue Normal
98ba89b7-5448-4f0f-b085-76bc5b0d253b	216bed19-7a29-4217-ab47-400a5b53b4ca.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A116	TCGA-DD-A116-11A	Solid Tissue Normal
51ad7b9b-58f0-4cef-b6c7-2b5079c98cf2	740e4c5c-0526-4a6a-8fc6-2811893fa1cf.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A113	TCGA-DD-A113-11A	Solid Tissue Normal
fe9bf7f6-797c-41c9-96dd-e1a47ac23672	df66b6f9-98d1-4b11-8025-b07d70c8485c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-EP-A26S	TCGA-EP-A26S-11A	Solid Tissue Normal
9114b0a3-584d-49e8-809e-ff40dbf1d4da	eb51d023-8d48-4724-9694-0b10055d582e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EH	TCGA-DD-A1EH-11A	Solid Tissue Normal
db5c3a50-5f19-4dc3-9b66-27e7603c9276	d59f7f17-3c62-4339-9314-085201abf94b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A2QR	TCGA-FV-A2QR-11A	Solid Tissue Normal
2ef958b4-4af9-47f1-9065-0f9802e4d8d5	8d30bfde-8486-4b27-8027-9bdd80142937.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A39V	TCGA-DD-A39V-11A	Solid Tissue Normal
458ceb98-7fca-4dee-86bd-c2944d8470e6	ed6be4e2-b632-481e-8d33-d3b49de48e72.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10S	TCGA-BC-A10S-11A	Solid Tissue Normal
7c9ad84d-b2ed-4d2c-8659-01407511c8ff	45f4a017-85d0-4488-b04b-dec6771dc6ec.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11A	TCGA-DD-A11A-11A	Solid Tissue Normal
72cedc05-752c-4bb4-9cf5-eb10831a5609	b425f901-ba4a-47ce-8825-cbb4fec1eab2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A216	TCGA-BC-A216-11A	Solid Tissue Normal
ba66d237-2a70-410a-9fb1-1ef1a66d4afd	d4919809-da22-4d05-81b4-8f72d3c00d01.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A119	TCGA-DD-A119-11A	Solid Tissue Normal
7b184f41-a74e-49b6-a2a7-fac70bf48611	15b52eec-12a4-4381-bb85-617561283854.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A3A3	TCGA-DD-A3A3-11A	Solid Tissue Normal
3f74b7b6-194a-47d8-bdbc-86ea753e0a70	8d1c725d-08a2-4ba1-8df2-c5a1cb383150.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10Y	TCGA-BC-A10Y-11A	Solid Tissue Normal
c69234f0-a9e0-4638-b19e-956b4e0039c9	9b9ef843-9554-4749-9a79-ccc770d171ec.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-G3-A25W	TCGA-G3-A25W-11A	Solid Tissue Normal
9be80731-d582-4fad-8845-f223f8ce8d21	f7e5f0c3-738d-472d-a837-65ab2a678430.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A10Q	TCGA-BC-A10Q-11A	Solid Tissue Normal
a4fefe3b-84ab-4377-9fad-e667d0e96b01	9e93993b-ad03-4aba-bc95-349e68e57398.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A11C	TCGA-DD-A11C-11A	Solid Tissue Normal
a535a7f9-10bd-4ed1-97f5-547383c5f22d	e6319faa-d8e0-46e3-b3d2-707b6f206a98.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-BC-A110	TCGA-BC-A110-11A	Solid Tissue Normal
9fec9f99-41c5-48fb-a63b-f4bcd82c354d	207c6a37-76d5-46df-9d49-06b8aa2bc9fd.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EC	TCGA-DD-A1EC-11A	Solid Tissue Normal
0c941cbd-4307-4249-aba9-44c601bfd91b	6f786be2-59fe-4acd-a7cc-7f3689fb9c6d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-A1EB	TCGA-DD-A1EB-11A	Solid Tissue Normal
16a5ee99-9a17-4de6-ba98-804e31c9435a	6c5af31d-3c9e-47ce-b717-27e7b8e585b5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-ES-A2HS	TCGA-ES-A2HS-11A	Solid Tissue Normal
b17719af-fd80-440f-877b-2be86c6d919f	a58914f2-773e-4368-8e60-ba8e24a7e62c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-FV-A23B	TCGA-FV-A23B-11A	Solid Tissue Normal
