File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
7a8ec7f3-275e-4d6e-ac6d-26f0a2a6b882	7f4ea21c-7f88-44b8-a26d-faf5212f064e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-A73D	TCGA-DD-A73D-01A	Primary Tumor
bfb4b2bd-2168-41e0-865b-64cf33c7a4a1	4913f864-ae8c-4ff1-bc29-5b6e9262dca4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-G3-A5SK	TCGA-G3-A5SK-01A	Primary Tumor
c196f6a5-9ff5-4672-b93d-2d6d576e03dc	e7484e07-7508-4ddd-b0e8-afbeace088e4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AAD8	TCGA-DD-AAD8-01A	Primary Tumor
42eca8ee-909f-4d4e-9872-a4209e52bb2c	0140b33f-beea-43d1-b0d4-d331845f0b17_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-BC-A10W	TCGA-BC-A10W-01A	Primary Tumor
69378fcd-a53e-46bc-8a2c-cf1b9ba8788c	0140b33f-beea-43d1-b0d4-d331845f0b17_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-BC-A10W	TCGA-BC-A10W-01A	Primary Tumor
a308a74b-7ad3-4310-8034-6ea352178ab1	352f7877-0d97-4bf7-af87-fc089c72c116_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AAEI	TCGA-DD-AAEI-01A	Primary Tumor
6aa88804-95e9-4e6d-951a-66a94e3e302c	5867091c-9380-485d-b0ae-0b1b02a284ff_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-G3-A3CK	TCGA-G3-A3CK-01A	Primary Tumor
5a0cab75-83b3-48d7-9df4-f9029bf8696b	c024ae53-042f-4ace-8c44-a41284b8b652_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-RC-A7SB	TCGA-RC-A7SB-01A	Primary Tumor
b4622a2b-b042-45e1-8813-0351347ed050	f75ad1d9-9165-4c5d-81c6-d66cb4e8989a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-2Y-A9H8	TCGA-2Y-A9H8-01A	Primary Tumor
ee4f7e5d-d668-4d22-a2a4-6670fb764e4b	8413a74e-2f5d-47ca-b165-69f002c4e477_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-CC-A3MB	TCGA-CC-A3MB-01A	Primary Tumor
c9c3ec0b-d67a-4915-b455-347f4d01537e	2c7a3e1a-0d97-44d0-a25a-de5a6f67f29f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-A3A2	TCGA-DD-A3A2-01A	Primary Tumor
8ffbf398-5023-4c36-9d94-de145c73204a	48e56148-5fb9-4cc8-98f9-eef7ee01a3d0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AACH	TCGA-DD-AACH-01A	Primary Tumor
f2df5212-369c-4773-ae21-0d6ab353ac83	8ac70677-c10a-4ed3-b99d-e8feba6f3f25_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-FV-A3R3	TCGA-FV-A3R3-01A	Primary Tumor
e895208e-9a61-451c-b476-082a05d1c4ee	9443c6c6-5e5b-42d3-9652-79919bb65320_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-CC-A5UD	TCGA-CC-A5UD-01A	Primary Tumor
f8bef839-1244-4186-926f-ce2b9e2f8b65	115a077d-cd81-401b-8d8d-0c867d7006e7_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-HP-A5MZ	TCGA-HP-A5MZ-01A	Primary Tumor
039dbb5c-825f-4421-900f-7c86e77cf66e	75556954-bf7a-40b0-ae9f-9c23036fd37d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-ZP-A9D0	TCGA-ZP-A9D0-01A	Primary Tumor
b1b76edf-3b2b-434a-b8ee-c5ddb2bda6f9	febe172d-9da1-4843-84b0-9658eb6eed1c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-2Y-A9GW	TCGA-2Y-A9GW-01A	Primary Tumor
21a638ab-29e9-4910-8776-f4a9a0e8cfad	febe172d-9da1-4843-84b0-9658eb6eed1c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-2Y-A9GW	TCGA-2Y-A9GW-01A	Primary Tumor
01d20fa9-d88d-42be-8a43-4d7eee1a771f	04024804-1031-4598-ab2f-2de8613f04ea_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-ZS-A9CG	TCGA-ZS-A9CG-01A	Primary Tumor
b86db95a-554e-4731-b12a-0f27a11b2ba1	4e132dc8-ff53-449b-946a-bb5e6f10df3d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AAD6	TCGA-DD-AAD6-01A	Primary Tumor
59f174d1-dfc9-4e02-a38b-5ec9f4028007	af9e13db-6b31-4339-bb86-2d9d1170ceba_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AACD	TCGA-DD-AACD-01A	Primary Tumor
db8b518e-24f4-4591-bdd4-e040b1f91ffc	3d2e538f-4c70-49a4-bd50-32695e2678b7_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-EP-A2KA	TCGA-EP-A2KA-01A	Primary Tumor
bb7a6d80-d529-4c23-a4c5-a89a0a217dca	8b0b62b9-2df0-40e0-91e0-86bf3f903e09_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-5R-AAAM	TCGA-5R-AAAM-01A	Primary Tumor
6e639d5b-f767-4410-ad78-b55925d222fb	c80a1897-3e92-4fdc-bf86-3e9b7b27e79d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AADQ	TCGA-DD-AADQ-01A	Primary Tumor
c7ce7c2f-a0fb-4b22-9fbf-4aa52ad20399	bd2bf736-0d6e-4d45-b7da-0b19bec0ee02_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-AAE7	TCGA-DD-AAE7-01A	Primary Tumor
5e2b1bae-8cad-4059-adca-376872eac9eb	759c2c78-531e-478d-8238-3ca5ba78eaac_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LIHC	TCGA-DD-A115	TCGA-DD-A115-01A	Primary Tumor
