File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
8c18e473-ce38-460b-bc23-6ea2bef18408	b43bb294-2b49-4166-b414-a5d0dd278dac_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-1592	TCGA-55-1592-11A	Solid Tissue Normal
9f54693c-7830-4839-adad-153d7fc3a696	862bf8dc-75ef-4b24-bbd7-158868dfb3a1_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-1595	TCGA-55-1595-11A	Solid Tissue Normal
069f916c-9ee5-482c-bd58-71377908995b	f315f22e-796f-4b06-95e9-bf215d143427_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-4670	TCGA-73-4670-11A	Solid Tissue Normal
19e8a8e1-5571-470a-8d5d-78aea54e198c	a1c8ead3-34e9-4698-b45c-730c4ce7d444_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-1594	TCGA-55-1594-11A	Solid Tissue Normal
4faa5b05-0d65-4f2b-a5c6-a7e946afc3a7	b7ce1a40-5d97-444f-8ab1-6674669ca817_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-4662	TCGA-73-4662-11A	Solid Tissue Normal
cb5f7c12-2ef0-4326-83bb-c052b79911b1	b7ce1a40-5d97-444f-8ab1-6674669ca817_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-4662	TCGA-73-4662-11A	Solid Tissue Normal
f7cb5b7a-6dce-438e-bfc0-ec0dcaff4cd8	ce7cf565-d053-41f8-abee-5d46d6f0401a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-4677	TCGA-73-4677-11A	Solid Tissue Normal
b199fb87-913d-472c-92b6-8f45ebf34000	5b40520b-0261-4807-bcac-dbbe4c70aa51_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-4666	TCGA-73-4666-11A	Solid Tissue Normal
23e07707-11fb-42a0-9318-b6a27d776110	5ae23f4c-7e16-4a19-bdb2-b6975ded25b7_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-49-4507	TCGA-49-4507-11A	Solid Tissue Normal
94d74eb9-2505-4555-a6e7-c9a6952f1833	29bfc124-4c0f-4914-a785-6cc8e1bd9fa7_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-49-4486	TCGA-49-4486-11A	Solid Tissue Normal
