File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
36ce5e7c-b01f-4ea8-952f-ab5d99e2eeca	b7efe6c1-7863-4b81-857d-1c38af4848f3_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-31-1953	TCGA-31-1953-01A	Primary Tumor
fc8aacef-f8b5-406e-85fd-f42eaed7380a	b7efe6c1-7863-4b81-857d-1c38af4848f3_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-31-1953	TCGA-31-1953-01A	Primary Tumor
d8e1bd6d-228a-41e9-a734-65076ca26168	5f4c9f6b-0e0e-421f-b6be-ffcbf8153c3d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-36-2534	TCGA-36-2534-01A	Primary Tumor
d2fbd908-928f-43db-a683-95ece0f44c19	d2fd13ab-a076-4ef9-8d18-8ec311f71915_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-2409	TCGA-25-2409-01A	Primary Tumor
00461215-0c20-44bb-8afe-b57918beff8a	0021fa34-6918-4218-ae32-4cdfc4d169ad_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-2396	TCGA-25-2396-01A	Primary Tumor
bf537229-df66-4d35-86ba-1c248a327fd3	67244e86-7450-4ec7-9bd3-369867a83111_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-13-0766	TCGA-13-0766-01A	Primary Tumor
1517d056-5e18-4766-86a1-624cf557d296	0021fa34-6918-4218-ae32-4cdfc4d169ad_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-2396	TCGA-25-2396-01A	Primary Tumor
9d49227f-bdad-4b7a-bf83-891d80433a3d	67244e86-7450-4ec7-9bd3-369867a83111_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-13-0766	TCGA-13-0766-01A	Primary Tumor
64ba787c-c7ae-497d-be7a-e33529f066c3	8ad38aae-1482-49d9-8666-237472ffb91b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1347	TCGA-04-1347-01A	Primary Tumor
ab1cbfc7-dbd8-4564-9577-9a7efbc3f83c	f01515c8-8429-4b2d-9a78-5d252fe41dcf_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-24-0966	TCGA-24-0966-01A	Primary Tumor
fb148b5f-6905-4363-859d-b8f2c9bdd40e	dec0378f-e04f-46c0-af1e-47bc5909289e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-59-2351	TCGA-59-2351-01A	Primary Tumor
486abea4-2f83-471a-9415-530480d78699	14be5765-ff0d-4c05-9be1-5216e8fc799a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1371	TCGA-04-1371-01A	Primary Tumor
5fcebb5c-f3eb-40a5-a086-87f1ba4d368c	67edbd8b-69df-4150-bcb5-edf32c80ad5a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-1673	TCGA-09-1673-01A	Primary Tumor
13ea4cd1-556b-4c5b-8192-391c663eea3d	59e0be3a-7e42-44a1-9e3e-b969148d36aa_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1652	TCGA-04-1652-01A	Primary Tumor
52c7b255-a901-47c4-9dcf-9cedd5cf83c6	6db587b2-8265-4a83-841e-a3cf1ee762b4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1351	TCGA-04-1351-01A	Primary Tumor
da199fda-65d6-4c8d-be9e-bb7940300247	6db587b2-8265-4a83-841e-a3cf1ee762b4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1351	TCGA-04-1351-01A	Primary Tumor
cdbc727e-56fc-4604-bd21-c4e776b87c77	7bd5d140-b08e-4cd2-9fea-1c35c9728bdb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-13-1506	TCGA-13-1506-01A	Primary Tumor
cbd8cfb4-6e4f-4f5c-963e-edc3a8704b88	99ea8809-e73a-436c-97f4-d9953262072c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-1870	TCGA-25-1870-01A	Primary Tumor
52c86993-73bc-48b2-8d15-29ad3e5413d0	c733766e-eccc-4c0d-b5bd-5d05fe30d765_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-0366	TCGA-09-0366-01A	Primary Tumor
a58bb410-8a3c-45e9-becc-5ee68d41921f	6fcdca18-65b2-40cd-a769-01c8a960a0bf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-36-2544	TCGA-36-2544-01A	Primary Tumor
babcd397-c0b0-45e5-8ac4-1da84f2fa153	aa86525d-a6bf-4953-9f3f-660ad0ce3080_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-1320	TCGA-25-1320-01A	Primary Tumor
f7cc9253-decc-41da-b4bf-a7f76b3fb43b	fdbdefc0-bb81-4839-91ab-f5f03383a623_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-24-1850	TCGA-24-1850-01A	Primary Tumor
c9811522-3689-4bec-bd26-9c1c1c6936ac	fdbdefc0-bb81-4839-91ab-f5f03383a623_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-24-1850	TCGA-24-1850-01A	Primary Tumor
1aeb82c5-7231-4108-b83d-6163eafdb25c	f11550a0-1e4c-45c5-8358-51cd9af0c324_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-29-1769	TCGA-29-1769-01A	Primary Tumor
75e2ef7a-f161-4648-99ad-6d76aa5d53a7	f11550a0-1e4c-45c5-8358-51cd9af0c324_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-29-1769	TCGA-29-1769-01A	Primary Tumor
b4cba498-4762-4315-a222-570fa42700fe	eabd8acc-907b-440a-b26b-831292868f5d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-61-1743	TCGA-61-1743-01A	Primary Tumor
fbef1b7f-9b1d-4694-8201-948b9b0720db	8d2a609e-c2c3-4519-ae30-c7b6330c2c71_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-61-2101	TCGA-61-2101-01A	Primary Tumor
ab48a36a-2955-43fb-96f3-da8ce5bbae5f	8d2a609e-c2c3-4519-ae30-c7b6330c2c71_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-61-2101	TCGA-61-2101-01A	Primary Tumor
ffec5e97-89df-4e87-b009-5359d859f0c5	e8fb5d4d-be7e-4bfa-ac1c-77a8da3d7217_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1350	TCGA-04-1350-01A	Primary Tumor
948e961f-8299-464c-9b62-40fdd9ace72d	f022ae2a-48ec-4de1-bfc9-5546657ad228_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-23-1111	TCGA-23-1111-01A	Primary Tumor
2387bfdb-e642-4ae1-b49a-c6b8465ad999	29ab5197-81e1-4f3b-ba1b-8517ff735bcb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-1878	TCGA-25-1878-01A	Primary Tumor
3282c52c-9972-4b2f-82ec-07ca8639850c	d2fd13ab-a076-4ef9-8d18-8ec311f71915_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-25-2409	TCGA-25-2409-01A	Primary Tumor
3520ff4a-fdff-427c-86b4-5051102f5cc6	5bb76691-f216-460e-98ac-c15f3857c1d1_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-30-1714	TCGA-30-1714-01A	Primary Tumor
1e3b65bf-e5a1-44e5-8ab0-edb896e6572b	33b25825-d4f1-404e-a8b5-e2442cdff9a2_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-36-2543	TCGA-36-2543-01A	Primary Tumor
30734f2e-015b-44b7-a6de-afb71325cd32	dec0378f-e04f-46c0-af1e-47bc5909289e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-59-2351	TCGA-59-2351-01A	Primary Tumor
b9e89bbb-e4a7-4621-b62c-c6bb68c03820	68861201-d59d-47b2-91a6-3d279b1fc231_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-24-1104	TCGA-24-1104-01A	Primary Tumor
f1305bf5-fc15-4777-9226-a7d9a82e9fc5	f34be550-ab37-44f5-8c41-bc4fbb216f74_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-2044	TCGA-09-2044-01B	Primary Tumor
d9196410-8023-4e0b-83d3-4d7894e8b54f	59e0be3a-7e42-44a1-9e3e-b969148d36aa_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1652	TCGA-04-1652-01A	Primary Tumor
92f040f6-9706-4701-b5b3-3f1194288bb0	2e558f9c-76c7-4743-a5ad-9a29dcf2a34f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-42-2591	TCGA-42-2591-01A	Primary Tumor
233613a9-b5e6-46b4-a893-87f46f13e652	fd58805c-81d8-4d07-aa48-cd65169e396b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-2055	TCGA-09-2055-01B	Primary Tumor
98ac7488-2f3b-4c2d-862e-424146bbd47f	fd58805c-81d8-4d07-aa48-cd65169e396b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-2055	TCGA-09-2055-01B	Primary Tumor
e0158db6-fbbc-45d2-a584-3ee90004683c	e8589043-19fe-4dcb-8bd3-d8c49750e65d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-31-1951	TCGA-31-1951-01A	Primary Tumor
02a267c5-8f4c-4e00-93c3-ded168032eed	a8f445a0-b64e-4af0-8920-08a3d7db4b68_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-13-1491	TCGA-13-1491-01A	Primary Tumor
aa3ab2fd-3a6d-497e-9477-64f159f507e8	e8fb5d4d-be7e-4bfa-ac1c-77a8da3d7217_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-04-1350	TCGA-04-1350-01A	Primary Tumor
020b2adc-8095-4640-a0d3-29a472c19b3c	5e0b7957-9b96-4ed7-8666-25cdcfc8db6f_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-OV	TCGA-09-2049	TCGA-09-2049-01D	Primary Tumor
