File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
cf6eac95-5b94-4483-81c9-00f77441762d	21d8d36c-510a-419f-8470-58da07d3ea8d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-IB-A7M4	TCGA-IB-A7M4-01A	Primary Tumor
11a34744-22e7-48aa-ad07-21dd5edcbe3f	e49ebae5-f1aa-4f02-8fb5-2d1212e2f046_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-FB-AAQ6	TCGA-FB-AAQ6-01A	Primary Tumor
e8503b08-3c36-4542-a918-77c24be36c6c	23451433-c611-4d4a-9e9c-d897c9d746c6_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-2L-AAQE	TCGA-2L-AAQE-01A	Primary Tumor
37c174ab-9c40-4b9b-9362-be3186914a5c	23451433-c611-4d4a-9e9c-d897c9d746c6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-2L-AAQE	TCGA-2L-AAQE-01A	Primary Tumor
f60d8f12-c1a5-49c5-bcdc-2c048cad0438	6cee1445-8519-430b-8273-193db9eba174_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-2J-AABO	TCGA-2J-AABO-01A	Primary Tumor
395f4b92-8fb1-447c-b195-c7cded595b91	81a23f71-b852-4879-9818-16eb8da0fe61_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-3A-A9IU	TCGA-3A-A9IU-01A	Primary Tumor
11e588bd-f9f2-4596-8d2d-af0933419aa7	27775cf9-95fb-44fc-9f29-230978427870_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-HV-AA8X	TCGA-HV-AA8X-01A	Primary Tumor
7666233e-0294-4d90-a6f0-69a2d7c18ccd	bd26bef3-3191-44b4-bcb7-870824df14d9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-FB-A545	TCGA-FB-A545-01A	Primary Tumor
a4255dc2-9cf8-49db-bf57-a381604d1274	bd26bef3-3191-44b4-bcb7-870824df14d9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-FB-A545	TCGA-FB-A545-01A	Primary Tumor
e981d356-a49d-4f5e-a44c-2ab0603a555e	2acc78dd-2d6b-45ce-99c3-b7c250821e39_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-2J-AABA	TCGA-2J-AABA-01A	Primary Tumor
1152ab9e-a0c5-4435-8a0f-5f8fba12ac95	dd96e507-1881-4681-9218-6b548ea98e5f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-HV-A5A4	TCGA-HV-A5A4-01A	Primary Tumor
86e8e48f-6c82-4e07-9480-6aeb06370f8d	fedeb895-ae86-4384-8c2b-74c9abbe53a1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-PAAD	TCGA-3A-A9IV	TCGA-3A-A9IV-01A	Primary Tumor
