File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
bffd0155-a469-4627-b8dc-14e2f9f12be2	51983190-0767-457e-a2c7-be27e52c2f34_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-F5-6571	TCGA-F5-6571-01A	Primary Tumor
72e54fae-0631-4e91-80fa-ae9d9d2695bc	390866ab-45da-4c23-ad82-0d99ed7844d7_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6513	TCGA-EI-6513-01A	Primary Tumor
e5f1cb51-6277-4048-9a8b-acbdbb3af9a6	f5f4fdcd-7d91-4efd-a83a-6d93a48b25ee_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-DC-6158	TCGA-DC-6158-01A	Primary Tumor
5bad0c71-bd32-47b5-82b2-68e5b013b122	8bd9780a-6ee9-4398-ad1d-752f9c95af3d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-F5-6864	TCGA-F5-6864-01A	Primary Tumor
a2313dfa-2d88-4d7e-9410-7ae30194bbf4	4e603a24-b51c-4cef-a4c7-a4b39c07bfb1_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-F5-6861	TCGA-F5-6861-01A	Primary Tumor
b22372b8-914e-4e8e-9077-179279ab5437	4e603a24-b51c-4cef-a4c7-a4b39c07bfb1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-F5-6861	TCGA-F5-6861-01A	Primary Tumor
1516f9ac-03b5-461e-a022-67fa57e9e3fa	51983190-0767-457e-a2c7-be27e52c2f34_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-F5-6571	TCGA-F5-6571-01A	Primary Tumor
b1c4385d-6b19-43d7-8a48-605f9ea1c454	34e5830e-fb19-4339-9aad-4832f82759c4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EF-5830	TCGA-EF-5830-01A	Primary Tumor
65a77cbf-3734-426e-bfa8-477ba3992592	1ef1072f-2b9e-482f-9590-af76493c7331_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6885	TCGA-EI-6885-01A	Primary Tumor
cba4d127-e31d-48e0-b73a-6caaddad2c89	814d1fe6-66b9-43f1-9d06-8c57f69ff428_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6917	TCGA-EI-6917-01A	Primary Tumor
016818c6-84d4-47a8-b8f1-f46230b67fcd	814d1fe6-66b9-43f1-9d06-8c57f69ff428_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6917	TCGA-EI-6917-01A	Primary Tumor
0ccf5888-00fe-480a-9613-409fa71eba6c	34c6a40c-6e33-4478-9235-69d548d3f55b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A020	TCGA-AG-A020-01A	Primary Tumor
4e359f07-245a-4ced-b463-f2d0d7f98fce	e451cc81-f289-4ae0-be0e-37bb475109af_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-DY-A1DE	TCGA-DY-A1DE-01A	Primary Tumor
5cb910be-e443-48a3-988a-80eaddf82300	e451cc81-f289-4ae0-be0e-37bb475109af_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-DY-A1DE	TCGA-DY-A1DE-01A	Primary Tumor
59e1ed3e-b9e1-46e8-80f4-699fdb0639f2	28f56aa8-5d19-4f06-bacc-bbf7584df0c7_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A026	TCGA-AG-A026-01A	Primary Tumor
ada1ca30-63e3-4d79-b479-4cf280fd79df	28f56aa8-5d19-4f06-bacc-bbf7584df0c7_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A026	TCGA-AG-A026-01A	Primary Tumor
a359920c-e66f-4a84-a3e6-7acafa942e18	f5f4fdcd-7d91-4efd-a83a-6d93a48b25ee_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-DC-6158	TCGA-DC-6158-01A	Primary Tumor
e0862a3a-7de8-4bc8-b209-d9895b3e61b6	df0753ea-33ed-4bb0-be49-ecf95d5e91c6_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6510	TCGA-EI-6510-01A	Primary Tumor
e24547cf-c9d8-46ba-80e7-ee2e1bcb7ccb	df0753ea-33ed-4bb0-be49-ecf95d5e91c6_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EI-6510	TCGA-EI-6510-01A	Primary Tumor
55e1a0bc-3896-4bd2-8dfd-db366fd58346	34e5830e-fb19-4339-9aad-4832f82759c4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-EF-5830	TCGA-EF-5830-01A	Primary Tumor
08fe29b6-34a3-4211-ba30-d7382c3021b1	5ed2f202-abea-4742-afe5-a57c7e8a6553_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AF-3911	TCGA-AF-3911-01A	Primary Tumor
3980ae1d-0bda-4f22-b0e6-6374d7b47d25	67581b5d-a5ae-465c-bcbc-c6f3b9cd0722_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-G5-6233	TCGA-G5-6233-01A	Primary Tumor
d712e637-141c-4383-9c7a-e985a0344913	67581b5d-a5ae-465c-bcbc-c6f3b9cd0722_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-G5-6233	TCGA-G5-6233-01A	Primary Tumor
2deacb72-4581-4f9f-9ca5-b4f3638959d9	132d690f-f7fa-4fe1-88e3-70c5b4dc0922_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-CI-6620	TCGA-CI-6620-01A	Primary Tumor
0609fef6-9c94-455e-b21a-58dcb8dc4a03	7581ee6a-17e0-42ca-9549-a709bf59b729_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A036	TCGA-AG-A036-01A	Primary Tumor
7ef7cf73-034d-4048-9616-172865d80db7	34c6a40c-6e33-4478-9235-69d548d3f55b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A020	TCGA-AG-A020-01A	Primary Tumor
