File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
b1caec2f-b2d9-4846-bc00-7fc961a5d98f	f44a348e-663b-459c-80d7-a33f96b28327_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3890	TCGA-AG-3890-01A	Primary Tumor
cb9db56a-ec27-4cc4-a59d-931d1ae6a723	96fdff78-ee82-4c3d-bfa8-013c77e47693_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3878	TCGA-AG-3878-01A	Primary Tumor
dd309316-378c-489c-a101-28c96371ca44	412ff717-2c83-492a-bda2-cec8cedc9508_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A02X	TCGA-AG-A02X-01A	Primary Tumor
e8a03869-bd24-44ec-93c6-6150adbb8517	a76689f3-027e-4dd1-bbb2-1971afd87f1f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AF-2692	TCGA-AF-2692-01A	Primary Tumor
4f64aae1-8a03-493e-b548-645b4f54cd71	8cdda019-8ffc-4464-9487-65375df5a0bc_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A014	TCGA-AG-A014-01A	Primary Tumor
98c0dfba-7da5-460a-ba4b-9e80440f7e59	76286b66-2208-4cc6-afb6-18a128330abc_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3587	TCGA-AG-3587-01A	Primary Tumor
7716b8e5-70d8-4194-a055-be34e927d29e	b06c1c3f-2724-4615-966c-d63afb0c54dc_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3612	TCGA-AG-3612-01A	Primary Tumor
3c50464b-e63b-489c-9eeb-66e06dac8f71	144beb2f-4802-4f56-81c2-4cf982a15c44_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3726	TCGA-AG-3726-01A	Primary Tumor
af866909-c791-4416-9c72-79642e87b02a	144beb2f-4802-4f56-81c2-4cf982a15c44_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3726	TCGA-AG-3726-01A	Primary Tumor
16e0f0e3-bf90-492f-aee8-709bce7cd8ff	96fdff78-ee82-4c3d-bfa8-013c77e47693_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3878	TCGA-AG-3878-01A	Primary Tumor
0c25665a-c824-4482-bff8-750716f8a97c	920c2fae-1383-4bd9-8a3f-32b9692b2290_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3894	TCGA-AG-3894-01A	Primary Tumor
5d52f940-2d68-417a-bdce-0f73bd7e31d1	0cc19a52-d1b8-4969-bb36-5552b29e32bb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00H	TCGA-AG-A00H-01A	Primary Tumor
19e30ace-09bc-4c24-9d33-ba4438a1668d	41105813-0b7a-4d60-9a55-ce37971189fb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A02G	TCGA-AG-A02G-01A	Primary Tumor
6f90a298-319e-40d6-a880-0a98b23535bb	8024379f-935c-4f07-9df9-b20edc4a171a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A032	TCGA-AG-A032-01A	Primary Tumor
4153fb43-37d1-4b83-9770-47d1b25c1b83	8cdda019-8ffc-4464-9487-65375df5a0bc_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A014	TCGA-AG-A014-01A	Primary Tumor
2189a014-9dde-4f94-a3b3-303687fd9789	8c0cbd9e-721d-4b44-9d73-fae7d84ca0ff_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3574	TCGA-AG-3574-01A	Primary Tumor
bf6d2ea1-5e6f-4aa2-9791-b629d1dbc406	67542bd5-cd7b-4f04-8e21-1441ce014e41_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A023	TCGA-AG-A023-01A	Primary Tumor
e9104f0f-47f4-420f-ad2d-94d5f022ac86	345abb9f-7fc7-4b3e-b244-42c49f883c24_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A015	TCGA-AG-A015-01A	Primary Tumor
e4fe1d86-d114-4aa7-b41b-9f0ef09a5188	412ff717-2c83-492a-bda2-cec8cedc9508_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A02X	TCGA-AG-A02X-01A	Primary Tumor
386fb91d-8a85-49fc-a33f-f313df73a87a	a1f26294-4358-4e7d-ada6-d6ee7f645388_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A026	TCGA-AG-A026-01A	Primary Tumor
337db39d-7ae0-4b1e-b001-235b92a47dd3	8c0cbd9e-721d-4b44-9d73-fae7d84ca0ff_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3574	TCGA-AG-3574-01A	Primary Tumor
8ee55cf5-ab6f-43e4-9c3f-239c78b8a898	632fce12-5b17-4c62-9c43-433db9200d5c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01N	TCGA-AG-A01N-01A	Primary Tumor
eedbe65e-bf55-496f-95e2-cb05844c6add	bdaec5d7-7231-4b54-90d3-3ba4f2c889cf_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A002	TCGA-AG-A002-01A	Primary Tumor
9da2fb9f-5023-4639-8636-e4647fafe73f	76286b66-2208-4cc6-afb6-18a128330abc_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3587	TCGA-AG-3587-01A	Primary Tumor
6ce61b60-e825-4765-94f5-384205948504	a1f26294-4358-4e7d-ada6-d6ee7f645388_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A026	TCGA-AG-A026-01A	Primary Tumor
236a0964-18f2-46ea-9ca5-bf6a5e5b7277	a76689f3-027e-4dd1-bbb2-1971afd87f1f_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AF-2692	TCGA-AF-2692-01A	Primary Tumor
75f26235-e5da-4f5d-90e7-f2997636e61c	8024379f-935c-4f07-9df9-b20edc4a171a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A032	TCGA-AG-A032-01A	Primary Tumor
df2e6e2e-ad46-42be-9c29-c8cfb3859131	632fce12-5b17-4c62-9c43-433db9200d5c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01N	TCGA-AG-A01N-01A	Primary Tumor
054446d2-85be-474c-9dfa-e78673d40186	ab6d3f9d-c4f9-45ab-b3d7-27eda0c9399e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3898	TCGA-AG-3898-01A	Primary Tumor
1d0d2d6f-2fe3-49df-a423-c96f109d3b73	98451e71-d048-4737-b80d-8f2914c482f9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A025	TCGA-AG-A025-01A	Primary Tumor
6a453132-d7c0-4ee3-b02a-ff84740941ba	447c67fd-e973-4580-92c6-60518c3e094a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01J	TCGA-AG-A01J-01A	Primary Tumor
ccdfebb3-9140-41c0-9fcf-ca96ed35b69e	77638800-8e1e-4f64-aaac-c3cf3ce1e4fd_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00Y	TCGA-AG-A00Y-01A	Primary Tumor
8412bed5-9cd4-40fc-86bd-df0071cdd787	d5cc3e3c-a6b6-4a5f-85e7-ce4cf20b9d96_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A011	TCGA-AG-A011-01A	Primary Tumor
40cd231c-854b-4699-ab9c-3726b4743e01	bf2016e4-a96a-4349-b5a5-33c403803460_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3575	TCGA-AG-3575-01A	Primary Tumor
1d8f7ff6-c1aa-45d0-b9bd-124e19295f03	a9f89bb0-0fd0-4b64-a178-c77aafd4d2dd_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3887	TCGA-AG-3887-01A	Primary Tumor
d937d19e-56f8-4958-beb3-60a10086313d	4eb0cc0e-c7fb-4c09-8dbb-725a7ca101fa_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01L	TCGA-AG-A01L-01A	Primary Tumor
022c129a-a817-457a-a4f9-8d15cb18f91f	f8d48eab-d282-4d1d-880f-11351af87375_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3883	TCGA-AG-3883-01A	Primary Tumor
18ac9074-1559-4adb-b02b-852190fcf3b0	d5cc3e3c-a6b6-4a5f-85e7-ce4cf20b9d96_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A011	TCGA-AG-A011-01A	Primary Tumor
9a771f99-9a87-4c3d-8d38-dccb6570f633	c6ad8121-a773-41c2-a71e-df09aa696e97_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A016	TCGA-AG-A016-01A	Primary Tumor
b2c8e487-de3d-4099-aedb-ca538066a2d8	98451e71-d048-4737-b80d-8f2914c482f9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A025	TCGA-AG-A025-01A	Primary Tumor
2fd883d5-c7b4-46ef-9d7b-28700434a18e	f8d48eab-d282-4d1d-880f-11351af87375_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3883	TCGA-AG-3883-01A	Primary Tumor
d19aa3c4-2ceb-4646-abfa-4a46ea03e171	c6ad8121-a773-41c2-a71e-df09aa696e97_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A016	TCGA-AG-A016-01A	Primary Tumor
6f8a1884-d260-4cc8-bafe-625e2e5d54d7	8fc10883-1f5b-4ee2-95ac-f162aab20ed9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3608	TCGA-AG-3608-01A	Primary Tumor
54391dd2-8570-4648-b4ee-6346db3a9198	ab6d3f9d-c4f9-45ab-b3d7-27eda0c9399e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3898	TCGA-AG-3898-01A	Primary Tumor
1aa210df-d9b5-46ca-b6d2-04559f18080e	73c3a604-2507-40ed-944a-97bfd78f5d4a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3896	TCGA-AG-3896-01A	Primary Tumor
cc27a5d2-ceae-4962-958e-94dead1cdc75	9de7bcdf-d434-4641-9b21-d4f0dd0c0e60_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3584	TCGA-AG-3584-01A	Primary Tumor
1b388203-12f8-4cdc-acec-05300f771611	802a93d0-9703-476b-84ee-d466c0ec82a2_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-4005	TCGA-AG-4005-01A	Primary Tumor
e184eb52-3e4e-4383-9e0a-31a99ed2aa55	bf2016e4-a96a-4349-b5a5-33c403803460_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3575	TCGA-AG-3575-01A	Primary Tumor
629c2c5e-a83c-4821-9b48-49b11b6fab57	447c67fd-e973-4580-92c6-60518c3e094a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01J	TCGA-AG-A01J-01A	Primary Tumor
03205373-a6d5-4c8d-8cbb-efee75e1b750	8fc10883-1f5b-4ee2-95ac-f162aab20ed9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3608	TCGA-AG-3608-01A	Primary Tumor
254a0711-4176-4f65-8afe-e16edb7f4dfb	a9f89bb0-0fd0-4b64-a178-c77aafd4d2dd_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3887	TCGA-AG-3887-01A	Primary Tumor
c4e96643-38f9-43ad-b6b3-4fae2f352784	4eb0cc0e-c7fb-4c09-8dbb-725a7ca101fa_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A01L	TCGA-AG-A01L-01A	Primary Tumor
5a44cd65-6c8a-4e3c-8068-48f9530960da	77638800-8e1e-4f64-aaac-c3cf3ce1e4fd_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00Y	TCGA-AG-A00Y-01A	Primary Tumor
24b4df57-26fa-4f87-a770-0d79920ffa4b	9de7bcdf-d434-4641-9b21-d4f0dd0c0e60_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3584	TCGA-AG-3584-01A	Primary Tumor
efefbde0-7e67-4bb6-a263-3b194b04cfff	802a93d0-9703-476b-84ee-d466c0ec82a2_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-4005	TCGA-AG-4005-01A	Primary Tumor
ff4080d2-0f43-4498-b617-d01483aa91a6	f44a348e-663b-459c-80d7-a33f96b28327_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3890	TCGA-AG-3890-01A	Primary Tumor
d45113bd-9ab2-413f-928e-540d8d16479c	bdaec5d7-7231-4b54-90d3-3ba4f2c889cf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A002	TCGA-AG-A002-01A	Primary Tumor
2a7008f1-2489-4ed9-be79-0b06051f5a8a	b06c1c3f-2724-4615-966c-d63afb0c54dc_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3612	TCGA-AG-3612-01A	Primary Tumor
71fb5472-61e4-410f-8e0b-7081113e5c4b	920c2fae-1383-4bd9-8a3f-32b9692b2290_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3894	TCGA-AG-3894-01A	Primary Tumor
e44c6687-5a6d-4a1c-bbb7-d3a271f6d5f1	41105813-0b7a-4d60-9a55-ce37971189fb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A02G	TCGA-AG-A02G-01A	Primary Tumor
24ddc575-fb8c-4422-9b19-78a4442be230	0cc19a52-d1b8-4969-bb36-5552b29e32bb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00H	TCGA-AG-A00H-01A	Primary Tumor
1441ae29-f112-419d-9724-354b359478f4	67542bd5-cd7b-4f04-8e21-1441ce014e41_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A023	TCGA-AG-A023-01A	Primary Tumor
69a29c3d-1073-45ef-9d1d-06ed1841a959	345abb9f-7fc7-4b3e-b244-42c49f883c24_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A015	TCGA-AG-A015-01A	Primary Tumor
61df5c64-d581-4b55-9fbf-9dc3a1c90e8e	73c3a604-2507-40ed-944a-97bfd78f5d4a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3896	TCGA-AG-3896-01A	Primary Tumor
5c82756a-6b24-487e-897d-0d0746dcd28d	3f3468b7-3b43-4ee2-ade2-17ae8993de97_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3892	TCGA-AG-3892-01A	Primary Tumor
9fe4fb19-bd15-4303-bc15-33ade1ba653b	7f84b136-6cca-4646-b4bd-15e8cb34e098_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00C	TCGA-AG-A00C-01A	Primary Tumor
5af06cf4-4051-4c14-8cc7-ec7d4009bc65	e9c6aa33-5764-420a-ac07-a17150f8e8b4_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A008	TCGA-AG-A008-01A	Primary Tumor
c9bdefb9-95a3-45a1-a19d-513b2db7c502	e9c6aa33-5764-420a-ac07-a17150f8e8b4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A008	TCGA-AG-A008-01A	Primary Tumor
cc67b657-3907-4228-818f-ae3d0b0c6591	77b07aa7-ac98-4694-ae77-fca27f7bec52_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3885	TCGA-AG-3885-01A	Primary Tumor
5444d89d-463b-4124-9ad0-6bc4e86cdfbf	7f84b136-6cca-4646-b4bd-15e8cb34e098_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-A00C	TCGA-AG-A00C-01A	Primary Tumor
521e6620-25c9-4b82-bf26-052fbe9811c0	77b07aa7-ac98-4694-ae77-fca27f7bec52_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3885	TCGA-AG-3885-01A	Primary Tumor
e2041b8a-5b08-4296-bb04-f5442f9c164d	3f3468b7-3b43-4ee2-ade2-17ae8993de97_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-READ	TCGA-AG-3892	TCGA-AG-3892-01A	Primary Tumor
