File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5d4557b7-0900-4092-8f6d-beb89c3e66e0	c9898911-dbb4-4e99-b6ea-a7a2411fbd4a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AAAU	TCGA-3C-AAAU-01A	Primary Tumor
81798c54-7d83-48ec-a5ae-c5d5cf46a601	c9898911-dbb4-4e99-b6ea-a7a2411fbd4a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AAAU	TCGA-3C-AAAU-01A	Primary Tumor
5d095f6c-97c6-4b72-90e2-75fc25b6945f	b5014f95-2421-40d1-9681-5353ddf6bfb0_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALI	TCGA-3C-AALI-01A	Primary Tumor
e5f7da7e-6d1e-4093-bce8-938e93390290	b5014f95-2421-40d1-9681-5353ddf6bfb0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALI	TCGA-3C-AALI-01A	Primary Tumor
8be61ca4-475b-44c6-b117-db957157f18f	54c696de-d778-4e79-9cc3-3297eacb1299_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALJ	TCGA-3C-AALJ-01A	Primary Tumor
135c8545-e075-4797-b945-4ed60129b019	54c696de-d778-4e79-9cc3-3297eacb1299_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALJ	TCGA-3C-AALJ-01A	Primary Tumor
2e552b8e-1611-450e-ab85-f69929622b67	a5ac8fac-e653-4767-8629-82a8bdccc0b7_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALK	TCGA-3C-AALK-01A	Primary Tumor
1c6019ae-ffde-4ac5-94a0-2066076d5f98	a5ac8fac-e653-4767-8629-82a8bdccc0b7_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-3C-AALK	TCGA-3C-AALK-01A	Primary Tumor
3ae2e455-a078-480b-9d32-fa44da99b4e7	11500b25-a006-49c6-9118-33f06122cc73_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-4H-AAAK	TCGA-4H-AAAK-01A	Primary Tumor
31f09928-f4b1-41d8-9f7c-091fea04661b	11500b25-a006-49c6-9118-33f06122cc73_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-4H-AAAK	TCGA-4H-AAAK-01A	Primary Tumor
7dc042c1-4de0-4d85-80ac-8996bffd6e72	1d232d64-831c-40b8-a528-8a3e063a5645_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-5L-AAT0	TCGA-5L-AAT0-01A	Primary Tumor
89c08468-78b3-47b9-85e7-1b7ea99b8991	1d232d64-831c-40b8-a528-8a3e063a5645_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-5L-AAT0	TCGA-5L-AAT0-01A	Primary Tumor
5a5a1c8a-e545-4f2c-9e14-5543cbd4bac3	071a05c1-f9df-4e68-b73e-8f6716d75d52_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-BRCA	TCGA-5L-AAT1	TCGA-5L-AAT1-01A	Primary Tumor
