File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
82659347-2127-483f-9d64-154dae2ea276	015639d7-a1f8-43e8-bced-b34a77069028_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A40J	TCGA-FU-A40J-01A	Primary Tumor
91c66b36-9a9d-469c-9a5e-69238a3b86af	b5581a3e-d18f-4868-a8c2-7cde749c60ac_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A9UA	TCGA-VS-A9UA-01A	Primary Tumor
18a60376-9367-40bd-a716-62e410e1862e	b5581a3e-d18f-4868-a8c2-7cde749c60ac_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A9UA	TCGA-VS-A9UA-01A	Primary Tumor
8439c4dd-bcc7-4243-8109-d486a66a61d6	3d6427ca-28b9-4058-aae2-58656e1e4b2a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-IR-A3L7	TCGA-IR-A3L7-01A	Primary Tumor
1869b315-fc0a-4922-91ed-dace2ac8211b	c4a1df68-4a34-4b95-ad43-2342459796cb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-GH-A9DA	TCGA-GH-A9DA-01A	Primary Tumor
62119137-7584-41e9-890c-f7743fa3c7eb	310686af-fa57-4b8c-9391-90f78f81def8_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A3YQ	TCGA-FU-A3YQ-01A	Primary Tumor
92d216ad-af4b-4e7f-a399-e4cea99610fb	c4a1df68-4a34-4b95-ad43-2342459796cb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-GH-A9DA	TCGA-GH-A9DA-01A	Primary Tumor
4142cb68-6479-43b2-ad2a-2a2b2574632e	310686af-fa57-4b8c-9391-90f78f81def8_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A3YQ	TCGA-FU-A3YQ-01A	Primary Tumor
91e2409e-e31b-45b7-8e59-abd94d9e51fc	1606950c-3217-49aa-852e-4fcd65fbfdeb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A3HR	TCGA-EA-A3HR-01A	Primary Tumor
12c4b591-ff8e-4659-ab04-366c7fbea56c	ccc168d4-d07f-4bbe-a9e4-d125fcf8d52e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A1QS	TCGA-EA-A1QS-01A	Primary Tumor
ed5d4766-497c-4a5d-a594-4af97573edd9	9d8e78a2-6b8f-4aa4-b17e-89b9a9cffbb3_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A50E	TCGA-EA-A50E-01A	Primary Tumor
8b99990c-203d-4a97-89a2-ab19a6bd5008	9d8e78a2-6b8f-4aa4-b17e-89b9a9cffbb3_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A50E	TCGA-EA-A50E-01A	Primary Tumor
74294778-1ff7-42d2-a1f2-629bea8bc777	79532c74-8e3d-4cda-8a75-94ca91ab0a7c_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-LP-A7HU	TCGA-LP-A7HU-01A	Primary Tumor
de60a290-061a-41f8-88d7-80ab1d4ca796	9291c8cf-96b3-47bb-a1eb-45d9fb42ac86_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-ZJ-AAXJ	TCGA-ZJ-AAXJ-01A	Primary Tumor
24d3d9dc-bbf3-4eac-8785-90ca8c5d684f	808cd0c1-3884-4a84-8e86-2b776a89d849_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EK-A2H1	TCGA-EK-A2H1-01A	Primary Tumor
8d640022-7b3f-4b3c-b0a3-bb44192f7e96	bab71739-07e8-422b-8276-498e4205d083_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-IR-A3LI	TCGA-IR-A3LI-01A	Primary Tumor
631efb48-f6b5-4f6d-8705-3332b0466428	a5d69544-1fc0-4dab-b5a8-da0444515a98_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A3TQ	TCGA-FU-A3TQ-01A	Primary Tumor
f73644ae-ccd7-49c1-aba2-dd927152ea24	0036d750-a651-4b2d-a657-02c71528a320_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EK-A2IP	TCGA-EK-A2IP-01A	Primary Tumor
89fed4d8-8015-49b8-8c71-d5d24641efac	d80dc1f2-fcf2-4120-b3fa-f1bfdfeff004_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A9U7	TCGA-VS-A9U7-01A	Primary Tumor
2b5a3de1-9fd9-469d-9d93-fdc8e541a056	d80dc1f2-fcf2-4120-b3fa-f1bfdfeff004_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A9U7	TCGA-VS-A9U7-01A	Primary Tumor
33d8affc-d5d9-4f97-b882-081f02502e21	c373bfcc-8e56-4039-b155-aa233cd31f90_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A8EI	TCGA-VS-A8EI-01A	Primary Tumor
5c2d0a65-1109-4d6c-b2b8-dd15ae542cc8	23e0480f-3f1b-4e7c-a6e9-2f9b8ff8be59_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A9UJ	TCGA-VS-A9UJ-01A	Primary Tumor
b16875af-6458-4a7d-8b9b-409c59af0883	fd9fade4-5aa0-4263-a9bb-d75fa0c22e68_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A410	TCGA-EA-A410-01A	Primary Tumor
79091c28-7003-4186-b557-228353319ff0	94c1d423-7509-49c9-8c3a-78e0369fc577_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A1BJ	TCGA-C5-A1BJ-01A	Primary Tumor
6bd6647d-3d8c-49f0-9724-87bdfd051fd9	2cad9f17-8f08-4b69-bd25-83ce4d0460ae_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A78R	TCGA-EA-A78R-01A	Primary Tumor
2e462b3e-cd2d-4923-9e8a-daae84de985d	2cad9f17-8f08-4b69-bd25-83ce4d0460ae_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EA-A78R	TCGA-EA-A78R-01A	Primary Tumor
9fc64ce0-327b-4abc-8a38-9476a51dcb7a	c68889a4-f0b0-48b6-925b-af281be0a6c5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A23K	TCGA-FU-A23K-01A	Primary Tumor
b823b405-e54d-46df-aa16-f15e350f171e	592b8f2c-3c57-4299-94e8-065846062e39_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-JW-A852	TCGA-JW-A852-01A	Primary Tumor
a33d4d7f-d9b6-4465-b5f8-718a3cb97d74	c68889a4-f0b0-48b6-925b-af281be0a6c5_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A23K	TCGA-FU-A23K-01A	Primary Tumor
4b9d7346-b010-498e-8ae1-89f28970bf78	6c2def7b-fc7a-4481-a851-dd290efdf760_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-FU-A770	TCGA-FU-A770-01A	Primary Tumor
192bf9fe-b7f8-4d10-be11-36c7834cb0cb	d5c2229c-f731-4355-a280-5591766f6d29_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-ZJ-AAXF	TCGA-ZJ-AAXF-01A	Primary Tumor
6db0ce02-8b6c-4c0a-9276-1274c22f2739	fff60500-5cf3-4310-ae28-a9b2f3e945c4_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-JW-A5VG	TCGA-JW-A5VG-01A	Primary Tumor
f0631e1e-cd5f-47f5-a517-4b0af014e690	b9689ef3-c3d5-4396-b3ea-e1f19f459b14_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A8XH	TCGA-C5-A8XH-01A	Primary Tumor
fd98129b-5883-4db2-93ed-07eaebb081c1	5e91cb37-762c-4fe6-aac4-6f463ada10df_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A2LS	TCGA-C5-A2LS-01A	Primary Tumor
302aefdc-a029-46f1-9dae-cc2d46274d8c	938c29cb-a91f-4128-b0ac-dc41f4a3817d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-ZJ-AAX4	TCGA-ZJ-AAX4-01A	Primary Tumor
85104736-e4bf-4387-9a18-00e7fb5ed5d1	c45ef711-19f5-4d17-acc5-871e96d485ca_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A8QA	TCGA-VS-A8QA-01A	Primary Tumor
846ee904-9d3d-44dd-9b67-7032542115f4	c45ef711-19f5-4d17-acc5-871e96d485ca_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-VS-A8QA	TCGA-VS-A8QA-01A	Primary Tumor
4397cd2a-8434-4a79-b3aa-3cd65bac6978	0a371c5f-3973-4a1a-afb9-97649b68f52f_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-UC-A7PF	TCGA-UC-A7PF-01A	Primary Tumor
6884299b-a1c9-4f5e-8fc3-dfa71652082d	c8530efe-2f66-4b2a-b025-4f84d2dd9fca_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-EX-A69M	TCGA-EX-A69M-01A	Primary Tumor
fc115829-dd59-4537-9145-46b5a9229c15	dde3ec30-062f-4e8a-bbab-7d71671e4ceb_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A0TN	TCGA-C5-A0TN-01A	Primary Tumor
1acad132-a459-40d3-84a8-28c49fe3a26e	a1ebdb15-4089-4176-98b0-72e1872af034_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A7CK	TCGA-C5-A7CK-01A	Primary Tumor
a49b889f-5eeb-48a2-b928-6961e7f9495c	8045a8e8-68d2-4984-b3c0-b64cd46f4757_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-MU-A8JM	TCGA-MU-A8JM-01A	Primary Tumor
37f0e3ec-a7a4-4d38-ba53-2ac891023fca	2a2fae4d-6197-4fc1-9fc4-602cabbc8675_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-JX-A3Q0	TCGA-JX-A3Q0-01A	Primary Tumor
53809805-8c1c-46c4-b4f8-59543cbb5ce6	acfd3683-12b3-42ba-9bf3-10717506a423_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A1MN	TCGA-C5-A1MN-01A	Primary Tumor
64975a82-2ed6-4c84-bde2-5b209fca1a2b	62ea50f3-0a31-4ba4-b421-5440a3c68141_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A1BE	TCGA-C5-A1BE-01B	Primary Tumor
678fc4f9-06ff-4947-b514-9121df1f096f	62ea50f3-0a31-4ba4-b421-5440a3c68141_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-CESC	TCGA-C5-A1BE	TCGA-C5-A1BE-01B	Primary Tumor
