File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
e18aa31c-a41c-40a2-9cf8-5d3de6e17a16	a40a1b6e-8d47-4c5d-b557-ba75381cd66e_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-EO-A3L0	TCGA-EO-A3L0-01A	Primary Tumor
425312fc-aea0-4154-95ef-c846be1dca0a	86b10dce-44ef-4ac4-947b-f20744df51bb_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A2HH	TCGA-AX-A2HH-01A	Primary Tumor
88743d7f-cd94-42b0-b831-2470aacc3ca3	377739fa-7769-4f13-a412-6a3fded5e73b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-FI-A3PX	TCGA-FI-A3PX-01A	Primary Tumor
86352ea2-4422-4b9b-b41c-3f44a8e62a40	c050e75c-a8db-43ac-a52a-3b9b64918e42_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-DI-A1NN	TCGA-DI-A1NN-01A	Primary Tumor
f25aba09-1e0e-4762-8b29-ec9edf5c2117	0e830c8f-0b75-4f80-bef5-866b0a618c46_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-EY-A1GQ	TCGA-EY-A1GQ-01A	Primary Tumor
486e9520-d645-4a64-85a3-64fda6be9aa7	51025f87-14e2-4ce9-8162-d3a652f585be_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A221	TCGA-BG-A221-01A	Primary Tumor
e28604d2-9328-4ce5-809d-0db4aec58492	61b126be-f792-4647-a2c8-ebc30ab9e648_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-EY-A1GM	TCGA-EY-A1GM-01A	Primary Tumor
8b8a04e7-0268-4417-a83d-1ff6ecf81640	ecd81c54-ffe6-4867-8253-3207c2ae8345_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-EY-A1GK	TCGA-EY-A1GK-01A	Primary Tumor
faa5887d-168b-400b-b451-28827b40a0b1	620a617a-b944-4c11-840e-cc9d3a50c084_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-D1-A1O8	TCGA-D1-A1O8-01A	Primary Tumor
f31a6002-ce41-4e0f-a958-6a457833a63c	5d013e1f-337e-4920-bfbd-a2a40fe2e7d8_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-D1-A16R	TCGA-D1-A16R-01A	Primary Tumor
