File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
995ad8be-2fda-4277-8b9f-d271774a4a4a	b7a9e37e-00ec-47e2-9c31-e2cc81146002_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-38-7271	TCGA-38-7271-01A	Primary Tumor
4f7dc3db-c9d2-45f4-bc4c-4dd7836dc6ff	b7a9e37e-00ec-47e2-9c31-e2cc81146002_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-38-7271	TCGA-38-7271-01A	Primary Tumor
4b42da80-2237-4517-814d-3d3848f3b3d7	604e65e3-1510-49c0-8532-6dd5cd321779_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-38-4631	TCGA-38-4631-01A	Primary Tumor
eeb6fd46-7866-4ed8-93c7-20d3047822c9	604e65e3-1510-49c0-8532-6dd5cd321779_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-38-4631	TCGA-38-4631-01A	Primary Tumor
15e7f6d6-f59d-4bb5-9962-c1e2e3734603	604ecb59-277f-4462-a2e0-edf67daf4fc0_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-49-6742	TCGA-49-6742-01A	Primary Tumor
d732bb52-bfe8-4b64-b520-3d3477fb91b0	a472e1c8-4a94-4b20-a3ca-8bdfd29cdec5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-95-7043	TCGA-95-7043-01A	Primary Tumor
5588621f-e4eb-4e3c-a95d-79085776c7bc	604ecb59-277f-4462-a2e0-edf67daf4fc0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-49-6742	TCGA-49-6742-01A	Primary Tumor
7bb94fe5-145f-40f7-a811-5064c30e9ed8	f2e79be4-ff8f-47e8-969f-c29d401cd34a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-86-8076	TCGA-86-8076-01A	Primary Tumor
c7ca24bf-88cc-452e-a7dd-79158a57e48e	f2e79be4-ff8f-47e8-969f-c29d401cd34a_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-86-8076	TCGA-86-8076-01A	Primary Tumor
939a0f69-fe7b-4087-9da6-5e112ba91593	6783a8bc-8dfb-46be-9738-bb6e1dd468d2_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-7726	TCGA-55-7726-01A	Primary Tumor
5c54dc5e-224f-40e0-8533-6b374e745d97	e084ff03-8d3e-4ccd-9630-632583445eff_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-50-5932	TCGA-50-5932-01A	Primary Tumor
28df2178-8fb0-45c6-b200-bd3d9c2c622a	91ba118d-72e3-4996-9ae9-db570ce16d53_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-44-6147	TCGA-44-6147-01A	Primary Tumor
168f18a4-7c39-4033-a76a-9e67cdd54fac	1f049f5d-3a9b-4f8d-8f48-99954481c5dd_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-8619	TCGA-55-8619-01A	Primary Tumor
4985548d-aef8-4a94-9643-e477b098554a	c35b9016-4a26-4d2b-ad85-1a1e2a0db359_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-44-3917	TCGA-44-3917-01B	Primary Tumor
51b1f152-db26-490a-be46-07b1d0971edb	001efc28-eef7-4e3e-b8f9-79d9d5452274_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-50-5939	TCGA-50-5939-01A	Primary Tumor
34b1e22b-1517-456c-9402-3fa1907aaa69	35faf022-a0c8-4cf7-8019-7189a7a7886e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-64-5775	TCGA-64-5775-01A	Primary Tumor
3942e68a-8f71-43a2-8d2e-3f5a10ddc37a	06dbda1d-0ce0-45bb-a94c-7a137e5411bf_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-NJ-A7XG	TCGA-NJ-A7XG-01A	Primary Tumor
6c850633-8631-4e20-b906-8944fa4b7479	bf6ffed2-bc16-404e-be91-2158ccdcdc20_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-91-6848	TCGA-91-6848-01A	Primary Tumor
35635485-02b2-4417-9b61-92176ab2fb2c	68ca8547-31f5-4b52-9e20-fb6e791c4f7e_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-7284	TCGA-55-7284-01B	Primary Tumor
78917809-140d-4aa7-b6e6-b9114c11df40	dae77e9a-3651-48c0-9de2-8766939a7e80_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-44-7671	TCGA-44-7671-01A	Primary Tumor
6603d7d8-15d4-43e0-a9d7-b75df0d08f9d	dae77e9a-3651-48c0-9de2-8766939a7e80_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-44-7671	TCGA-44-7671-01A	Primary Tumor
65d5182b-bc2e-4c05-9a0c-9bf43e663392	41d09619-10a4-4c74-b238-ddcd9a901134_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-78-8660	TCGA-78-8660-01A	Primary Tumor
45c7b23c-7c5f-4f7c-83f0-570b219773a7	60295882-2636-44a0-abea-b351bedc387d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-6978	TCGA-55-6978-01A	Primary Tumor
8e948cc2-1164-4500-88ce-9bd548cc5d1f	552ac1ae-7882-454f-9f21-24bcbc9e2e62_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-62-A46P	TCGA-62-A46P-01A	Primary Tumor
3bdcaf16-70ee-4cef-b854-51889b09f843	f1770242-9175-4577-b1bc-f6cf47c9d009_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-50-6592	TCGA-50-6592-01A	Primary Tumor
c3046968-a87f-4de2-b459-c7cc3bacf8c2	863baabd-5f57-4617-8737-ef296cb75ba9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-J2-8192	TCGA-J2-8192-01A	Primary Tumor
25423d35-a964-46ed-ae2f-b00ec7f793ca	558ca02b-1429-41a9-9c8b-86e072bf86ed_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-91-A4BD	TCGA-91-A4BD-01A	Primary Tumor
db67cadf-06a1-40cb-840e-b0e81c5956f8	863baabd-5f57-4617-8737-ef296cb75ba9_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-J2-8192	TCGA-J2-8192-01A	Primary Tumor
059be0f9-574a-4a03-b28c-dd6788c6aac8	f393eb69-7017-4b72-85b8-b258f4dc071a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-A48Z	TCGA-55-A48Z-01A	Primary Tumor
6e43895f-d0bb-4680-9a78-37bf6dbea500	87bc194f-3421-49ca-a9b3-5e6b448030fe_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-64-5779	TCGA-64-5779-01A	Primary Tumor
d2ee42cc-5bb6-49dd-b22e-2481936910e4	628b267e-cab8-4673-909c-079e682a5e4d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-44-6144	TCGA-44-6144-01A	Primary Tumor
322b8b03-7884-439e-88d2-303403b53621	60e60da6-b554-40c5-b063-fb8668d0d8b1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-97-8176	TCGA-97-8176-01A	Primary Tumor
cea1a43a-4f64-4626-9b91-80e9fe9badb9	56ad4c21-0a1a-4c08-8fd8-0c1fc5a22974_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-73-A9RS	TCGA-73-A9RS-01A	Primary Tumor
4ccf570c-ec48-42b6-b2aa-c2f29542e5e7	55bfdce7-4ae6-48a1-894d-80621caa1d06_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-50-5931	TCGA-50-5931-01A	Primary Tumor
06ca62fb-1a4c-48d0-a54f-05d5d2a8df86	7f9e97e7-c154-4828-a8e5-8bb8d8e8cfc6_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-75-6212	TCGA-75-6212-01A	Primary Tumor
8593cc5e-1edb-41e5-9ed1-c6f5487212a2	5eb2926d-49e4-4f74-95f0-43124bf0cd6a_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-78-7540	TCGA-78-7540-01A	Primary Tumor
415ae065-43e3-4beb-8e98-2fde505a0aee	43bb27c6-f768-4f56-a97e-07a72de4bed8_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-69-7764	TCGA-69-7764-01A	Primary Tumor
477d2c00-041a-43c9-9fc2-ac1121319b48	8a34da55-5b86-4c17-b9a9-097b3252eb64_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-55-8299	TCGA-55-8299-01A	Primary Tumor
d73075be-162f-4940-a97e-a4277a086b95	9fa9be9b-52b9-4ecd-9ecc-e7b2dd6a8c70_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-86-8585	TCGA-86-8585-01A	Primary Tumor
f62022a2-89ce-4bc7-aa35-83446f2d1f2d	5260f7f2-f2eb-432d-b02f-cbd74ed89f58_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-MP-A4SW	TCGA-MP-A4SW-01A	Primary Tumor
967f4afe-f493-4692-b013-50e6f15cd185	dd976a25-dcd9-44ff-8fe4-3ab62f58bc5d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-L4-A4E6	TCGA-L4-A4E6-01A	Primary Tumor
78ac1227-101c-4b36-b5fd-398bcbaf6e49	eceddb0e-9695-4e07-93ac-5c38427db790_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-97-7552	TCGA-97-7552-01A	Primary Tumor
76d56c15-eff6-4688-abf4-ef1cd33080cc	41b9b0db-1693-4f9f-813c-ae6510847780_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-LUAD	TCGA-78-7149	TCGA-78-7149-01A	Primary Tumor
