SampleID,Raw_SampleID,Raw_bam,Spike_in_label,Sample_type,Spike_in_ratio,Replicate,Spike_in_name,Spike_in_resource,Bam_file,Bam_file_tumor
LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_0,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,0.5,0,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_0.tumor.bam
LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_2,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,0.1,2,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_2.tumor.bam
LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_1,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,5.0,1,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_1.tumor.bam
LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_1,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,0.5,1,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_1.tumor.bam
LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_0,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,5.0,0,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__005_from_ZNL07S_label_Lung_replicate_0.tumor.bam
LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_2,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,1.0,2,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_2.tumor.bam
LBGS087_spike_in__001_from_ZNB05S_label_Breast_replicate_2,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Breast,cfDNA,1.0,2,ZNB05S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNB05S/ZNB05S/ZNB05S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNB05S_label_Breast_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNB05S_label_Breast_replicate_2.tumor.bam
LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_1,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,1.0,1,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_1.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__001_from_ZNL07S_label_Lung_replicate_1.tumor.bam
LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_0,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,0.1,0,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0001_from_ZNL07S_label_Lung_replicate_0.tumor.bam
LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_2,LBGS087,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-ZLBGS087ME85_M509-M709_R1.fastq.p1.gz_bismark_bt2_pe.deduplicated.bam,Lung,cfDNA,0.5,2,ZNL07S,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/output/tissue_highdepth_only_450_TMD_region/ZNL07S/ZNL07S/ZNL07S.changed_chr_format_only450TMDregion_sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_2.sorted.bam,/mnt/archiving/DATA_HIEUNHO/Spike_in/220924_spike_in_TMD_samples_use_tissue_highdepth/01_Subsampling_merge_sort_index/LBGS087_spike_in__0005_from_ZNL07S_label_Lung_replicate_2.tumor.bam
