,pos,chrom,region
0,144050604,chr8,chr8_144050603_144051516
1,144050633,chr8,chr8_144050603_144051516
2,144050635,chr8,chr8_144050603_144051516
3,144050656,chr8,chr8_144050603_144051516
4,144050659,chr8,chr8_144050603_144051516
5,144050669,chr8,chr8_144050603_144051516
6,144050671,chr8,chr8_144050603_144051516
7,144050700,chr8,chr8_144050603_144051516
8,144050720,chr8,chr8_144050603_144051516
9,144050725,chr8,chr8_144050603_144051516
10,144050745,chr8,chr8_144050603_144051516
11,144050748,chr8,chr8_144050603_144051516
12,144050751,chr8,chr8_144050603_144051516
13,144050773,chr8,chr8_144050603_144051516
14,144050783,chr8,chr8_144050603_144051516
15,144050799,chr8,chr8_144050603_144051516
16,144050801,chr8,chr8_144050603_144051516
17,144050814,chr8,chr8_144050603_144051516
18,144050852,chr8,chr8_144050603_144051516
19,144050857,chr8,chr8_144050603_144051516
20,144050867,chr8,chr8_144050603_144051516
21,144050889,chr8,chr8_144050603_144051516
22,144050893,chr8,chr8_144050603_144051516
23,144050898,chr8,chr8_144050603_144051516
24,144050900,chr8,chr8_144050603_144051516
25,144050902,chr8,chr8_144050603_144051516
26,144050928,chr8,chr8_144050603_144051516
27,144050964,chr8,chr8_144050603_144051516
28,144050981,chr8,chr8_144050603_144051516
29,144050990,chr8,chr8_144050603_144051516
30,144051000,chr8,chr8_144050603_144051516
31,144051003,chr8,chr8_144050603_144051516
32,144051024,chr8,chr8_144050603_144051516
33,144051027,chr8,chr8_144050603_144051516
34,144051043,chr8,chr8_144050603_144051516
35,144051048,chr8,chr8_144050603_144051516
36,144051050,chr8,chr8_144050603_144051516
37,144051059,chr8,chr8_144050603_144051516
38,144051075,chr8,chr8_144050603_144051516
39,144051086,chr8,chr8_144050603_144051516
40,144051105,chr8,chr8_144050603_144051516
41,144051130,chr8,chr8_144050603_144051516
42,144051140,chr8,chr8_144050603_144051516
43,144051157,chr8,chr8_144050603_144051516
44,144051165,chr8,chr8_144050603_144051516
45,144051174,chr8,chr8_144050603_144051516
46,144051186,chr8,chr8_144050603_144051516
47,144051226,chr8,chr8_144050603_144051516
48,144051228,chr8,chr8_144050603_144051516
49,144051230,chr8,chr8_144050603_144051516
50,144051237,chr8,chr8_144050603_144051516
51,144051239,chr8,chr8_144050603_144051516
52,144051249,chr8,chr8_144050603_144051516
53,144051254,chr8,chr8_144050603_144051516
54,144051261,chr8,chr8_144050603_144051516
55,144051270,chr8,chr8_144050603_144051516
56,144051273,chr8,chr8_144050603_144051516
57,144051281,chr8,chr8_144050603_144051516
58,144051293,chr8,chr8_144050603_144051516
59,144051318,chr8,chr8_144050603_144051516
60,144051331,chr8,chr8_144050603_144051516
61,144051345,chr8,chr8_144050603_144051516
62,144051348,chr8,chr8_144050603_144051516
63,144051361,chr8,chr8_144050603_144051516
64,144051367,chr8,chr8_144050603_144051516
65,144051373,chr8,chr8_144050603_144051516
66,144051392,chr8,chr8_144050603_144051516
67,144051398,chr8,chr8_144050603_144051516
68,144051404,chr8,chr8_144050603_144051516
69,144051407,chr8,chr8_144050603_144051516
70,144051415,chr8,chr8_144050603_144051516
71,144051425,chr8,chr8_144050603_144051516
72,144051442,chr8,chr8_144050603_144051516
73,144051445,chr8,chr8_144050603_144051516
74,144051448,chr8,chr8_144050603_144051516
75,144051452,chr8,chr8_144050603_144051516
76,144051480,chr8,chr8_144050603_144051516
77,144051482,chr8,chr8_144050603_144051516
78,144051492,chr8,chr8_144050603_144051516
79,144051500,chr8,chr8_144050603_144051516
80,144051515,chr8,chr8_144050603_144051516
0,56655131,chr4,chr4_56655130_56655853
1,56655138,chr4,chr4_56655130_56655853
2,56655144,chr4,chr4_56655130_56655853
3,56655170,chr4,chr4_56655130_56655853
4,56655182,chr4,chr4_56655130_56655853
5,56655211,chr4,chr4_56655130_56655853
6,56655231,chr4,chr4_56655130_56655853
7,56655245,chr4,chr4_56655130_56655853
8,56655253,chr4,chr4_56655130_56655853
9,56655260,chr4,chr4_56655130_56655853
10,56655276,chr4,chr4_56655130_56655853
11,56655283,chr4,chr4_56655130_56655853
12,56655320,chr4,chr4_56655130_56655853
13,56655340,chr4,chr4_56655130_56655853
14,56655352,chr4,chr4_56655130_56655853
15,56655371,chr4,chr4_56655130_56655853
16,56655379,chr4,chr4_56655130_56655853
17,56655415,chr4,chr4_56655130_56655853
18,56655437,chr4,chr4_56655130_56655853
19,56655456,chr4,chr4_56655130_56655853
20,56655465,chr4,chr4_56655130_56655853
21,56655486,chr4,chr4_56655130_56655853
22,56655491,chr4,chr4_56655130_56655853
23,56655499,chr4,chr4_56655130_56655853
24,56655514,chr4,chr4_56655130_56655853
25,56655521,chr4,chr4_56655130_56655853
26,56655535,chr4,chr4_56655130_56655853
27,56655550,chr4,chr4_56655130_56655853
28,56655559,chr4,chr4_56655130_56655853
29,56655567,chr4,chr4_56655130_56655853
30,56655598,chr4,chr4_56655130_56655853
31,56655611,chr4,chr4_56655130_56655853
32,56655620,chr4,chr4_56655130_56655853
33,56655630,chr4,chr4_56655130_56655853
34,56655647,chr4,chr4_56655130_56655853
35,56655656,chr4,chr4_56655130_56655853
36,56655660,chr4,chr4_56655130_56655853
37,56655672,chr4,chr4_56655130_56655853
38,56655680,chr4,chr4_56655130_56655853
39,56655688,chr4,chr4_56655130_56655853
40,56655691,chr4,chr4_56655130_56655853
41,56655694,chr4,chr4_56655130_56655853
42,56655727,chr4,chr4_56655130_56655853
43,56655737,chr4,chr4_56655130_56655853
44,56655764,chr4,chr4_56655130_56655853
45,56655767,chr4,chr4_56655130_56655853
46,56655774,chr4,chr4_56655130_56655853
47,56655776,chr4,chr4_56655130_56655853
48,56655780,chr4,chr4_56655130_56655853
49,56655790,chr4,chr4_56655130_56655853
50,56655798,chr4,chr4_56655130_56655853
51,56655800,chr4,chr4_56655130_56655853
52,56655826,chr4,chr4_56655130_56655853
53,56655831,chr4,chr4_56655130_56655853
54,56655833,chr4,chr4_56655130_56655853
55,56655840,chr4,chr4_56655130_56655853
56,56655842,chr4,chr4_56655130_56655853
57,56655852,chr4,chr4_56655130_56655853
0,36986087,chr9,chr9_36986086_36986754
1,36986090,chr9,chr9_36986086_36986754
2,36986096,chr9,chr9_36986086_36986754
3,36986101,chr9,chr9_36986086_36986754
4,36986104,chr9,chr9_36986086_36986754
5,36986106,chr9,chr9_36986086_36986754
6,36986120,chr9,chr9_36986086_36986754
7,36986134,chr9,chr9_36986086_36986754
8,36986141,chr9,chr9_36986086_36986754
9,36986144,chr9,chr9_36986086_36986754
10,36986146,chr9,chr9_36986086_36986754
11,36986150,chr9,chr9_36986086_36986754
12,36986152,chr9,chr9_36986086_36986754
13,36986159,chr9,chr9_36986086_36986754
14,36986167,chr9,chr9_36986086_36986754
15,36986182,chr9,chr9_36986086_36986754
16,36986215,chr9,chr9_36986086_36986754
17,36986223,chr9,chr9_36986086_36986754
18,36986245,chr9,chr9_36986086_36986754
19,36986260,chr9,chr9_36986086_36986754
20,36986263,chr9,chr9_36986086_36986754
21,36986265,chr9,chr9_36986086_36986754
22,36986270,chr9,chr9_36986086_36986754
23,36986272,chr9,chr9_36986086_36986754
24,36986274,chr9,chr9_36986086_36986754
25,36986284,chr9,chr9_36986086_36986754
26,36986289,chr9,chr9_36986086_36986754
27,36986296,chr9,chr9_36986086_36986754
28,36986298,chr9,chr9_36986086_36986754
29,36986304,chr9,chr9_36986086_36986754
30,36986321,chr9,chr9_36986086_36986754
31,36986323,chr9,chr9_36986086_36986754
32,36986326,chr9,chr9_36986086_36986754
33,36986329,chr9,chr9_36986086_36986754
34,36986337,chr9,chr9_36986086_36986754
35,36986342,chr9,chr9_36986086_36986754
36,36986347,chr9,chr9_36986086_36986754
37,36986354,chr9,chr9_36986086_36986754
38,36986357,chr9,chr9_36986086_36986754
39,36986359,chr9,chr9_36986086_36986754
40,36986363,chr9,chr9_36986086_36986754
41,36986365,chr9,chr9_36986086_36986754
42,36986368,chr9,chr9_36986086_36986754
43,36986371,chr9,chr9_36986086_36986754
44,36986380,chr9,chr9_36986086_36986754
45,36986383,chr9,chr9_36986086_36986754
46,36986387,chr9,chr9_36986086_36986754
47,36986390,chr9,chr9_36986086_36986754
48,36986405,chr9,chr9_36986086_36986754
49,36986410,chr9,chr9_36986086_36986754
50,36986442,chr9,chr9_36986086_36986754
51,36986473,chr9,chr9_36986086_36986754
52,36986480,chr9,chr9_36986086_36986754
53,36986483,chr9,chr9_36986086_36986754
54,36986485,chr9,chr9_36986086_36986754
55,36986489,chr9,chr9_36986086_36986754
56,36986493,chr9,chr9_36986086_36986754
57,36986505,chr9,chr9_36986086_36986754
58,36986511,chr9,chr9_36986086_36986754
59,36986514,chr9,chr9_36986086_36986754
60,36986516,chr9,chr9_36986086_36986754
61,36986534,chr9,chr9_36986086_36986754
62,36986539,chr9,chr9_36986086_36986754
63,36986543,chr9,chr9_36986086_36986754
64,36986547,chr9,chr9_36986086_36986754
65,36986573,chr9,chr9_36986086_36986754
66,36986576,chr9,chr9_36986086_36986754
67,36986578,chr9,chr9_36986086_36986754
68,36986608,chr9,chr9_36986086_36986754
69,36986619,chr9,chr9_36986086_36986754
70,36986625,chr9,chr9_36986086_36986754
71,36986643,chr9,chr9_36986086_36986754
72,36986646,chr9,chr9_36986086_36986754
73,36986653,chr9,chr9_36986086_36986754
74,36986660,chr9,chr9_36986086_36986754
75,36986670,chr9,chr9_36986086_36986754
76,36986674,chr9,chr9_36986086_36986754
77,36986681,chr9,chr9_36986086_36986754
78,36986696,chr9,chr9_36986086_36986754
79,36986701,chr9,chr9_36986086_36986754
